stada,dagsetning,prosenta,kronur,a_vid,heimild,athugasemd,felag,felag_audkenni,motadili,motadili_heiti,eyda_fra,eyda_til,manudir,haekkun_a_undan,haekkun_a_eftir,algengt_hja_odrum,samningar_fjoldi,samningar,slodir,heilleiki,fjoldi_haekkana,timabil_felags
,,,,,,,VM,vm,sa,Samtök atvinnulífsins,1996-01-01,2000-12-01,59,"3,00%","5,40%","1998-01-01 4,00% (12 félög); 1999-01-01 4,00% (7 félög)",0,,,samfelld,24,1983-01-01 – 2028-01-01
,,,,,,,VM,vm,sa,Samtök atvinnulífsins,2003-01-01,2007-10-01,57,"3,00%","5,50%","2007-01-01 2,25% (31 félög); 2005-01-01 3,00% (29 félög); 2006-01-01 2,50% (26 félög); 2004-04-19 3,25% (15 félög)",0,,,samfelld,24,1983-01-01 – 2028-01-01
,,,,,,,VM,vm,sa,Samtök atvinnulífsins,2010-01-01,2014-02-01,49,"2,50%","3,25% / 23.750 kr","2011-06-01 4,25% (26 félög); 2012-02-01 3,50% (22 félög); 2013-02-01 3,25% (21 félög); 2011-05-05 3,25% (16 félög)",0,,,samfelld,24,1983-01-01 – 2028-01-01
,,,,,,,VM,vm,sa,Samtök atvinnulífsins,2017-04-01,2019-04-01,24,"4,50%",17.000 kr,"2017-05-01 4,50% (20 félög); 2018-05-01 3,75% (20 félög); 2017-05-01 3,00% (7 félög); 2017-06-01 2,50% (6 félög)",0,,,samfelld,24,1983-01-01 – 2028-01-01
,,,,,,,Bifreiðastjórafélagið Sleipnir,bifreidastjorafelagid-sleipnir,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25% / 41.800 kr","4,25%","2011-05-05 3,25% (16 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",1,"2004-12-01–2007-01-01 Samtök atvinnulífsins, SA (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_282.pdf,samfelld,19,2002-01-01 – 2027-01-01
,,,,,,,Bifreiðastjórafélagið Sleipnir,bifreidastjorafelagid-sleipnir,sa,Samtök atvinnulífsins,2011-05-05,2015-05-01,48,"4,25%","7,20%","2011-06-01 4,25% (26 félög); 2012-02-01 3,50% (22 félög); 2013-02-01 3,25% (21 félög); 2015-05-01 7,70% (6 félög)",3,"2011-06-22–2014-01-31 Samtök atvinnulífsins, SA (Heildarsamningur) | 2011-06-22–2014-01-01 Samtök atvinnulífsins, SA (Samkomulag) | 2014-01-01–2014-12-01 Samtök atvinnulífsins, SA (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_284.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_284.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_286.pdf,samfelld,19,2002-01-01 – 2027-01-01
,,,,,,,Bifreiðastjórafélagið Sleipnir,bifreidastjorafelagid-sleipnir,sa,Samtök atvinnulífsins,2018-05-01,2024-02-01,69,"4,50%","3,25% / 23.750 kr","2024-02-01 3,25% (31 félög); 2022-01-01 2,50% (28 félög); 2022-11-01 4,99% (16 félög); 2022-11-01 6,75% (13 félög)",3,"2020-01-01–2023-09-30 Samtök atvinnulífsins, SA (Heildarsamningur) | 2024-02-01–2028-02-01 Samtök atvinnulífsins, SA (Samkomulag) | 2015-05-01–2018-12-31 Samtök atvinnulífsins, SA (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_277.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_43.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_285.pdf,samfelld,19,2002-01-01 – 2027-01-01
,,,,,,,MATVÍS,matvis,sa,Samtök atvinnulífsins,2007-01-01,2009-03-01,26,"5,50%","3,50%","2009-03-01 3,50% (7 félög); 2008-01-01 2,25% (6 félög); 2008-01-01 2,00% (4 félög); 2007-05-01 2,00% (4 félög)",3,"2008-02-01–2010-11-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2005-01-01–2007-12-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2008-05-01–2009-03-01 Ríkissjóður, SNR, Landhelgisgæsla Íslands (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23090616351.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23090615050.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_858.pdf,samfelld,15,2005-01-01 – 2027-01-01
,,,,,,,MATVÍS,matvis,sa,Samtök atvinnulífsins,2010-01-01,2019-04-01,111,"2,50%",17.000 kr,"2011-06-01 4,25% (26 félög); 2012-02-01 3,50% (22 félög); 2013-02-01 3,25% (21 félög); 2017-05-01 4,50% (20 félög)",3,"2014-01-01–2015-02-28 Samtök atvinnulífsins, SA (Heildarsamningur) | 2015-05-01–2018-12-31 Samtök atvinnulífsins, SA (Heildarsamningur) | 2008-02-01–2010-11-01 Samtök atvinnulífsins, SA (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_581.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_578.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23090616351.pdf,samfelld,15,2005-01-01 – 2027-01-01
,,,,,,,Sameyki,sameyki,riki,Ríkið,1986-12-01,2011-06-01,294,"3,00%","4,25% / 12.000 kr","2007-01-01 2,25% (31 félög); 2005-01-01 3,00% (29 félög); 2006-01-01 2,50% (26 félög); 2011-06-01 4,25% (25 félög)",3,"2011-05-01–2014-03-01 Ríkissjóður, SNR (Samkomulag) | 1986-02-01–1986-12-31 Ríkissjóður, SNR (Heildarsamningur) | 2011-05-01–2014-12-01 RARIK ohf. (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_445.pdf https://kjarasamningar.hestafl.is/pdfs/BSRB.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_599.pdf,samfelld,15,1986-06-01 – 2027-04-01
,,,,,,,Sameyki,sameyki,riki,Ríkið,2013-03-01,2019-04-01,73,"3,25% / 11.000 kr",17.000 kr,"2017-05-01 4,50% (20 félög); 2018-05-01 3,75% (20 félög); 2016-01-01 7,20% (17 félög); 2016-05-01 6,20% (17 félög)",3,"2014-03-01–2015-04-01 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2011-05-01–2014-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_39.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1666.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_445.pdf,samfelld,15,1986-06-01 – 2027-04-01
,,,,,,,Félag fréttamanna,felag-frettamanna,fy-rikisutvarpid,Ríkisútvarpið,2010-01-01,2014-12-31,59,"2,50%","3,20%","2011-06-01 4,25% (26 félög); 2012-02-01 3,50% (22 félög); 2013-02-01 3,25% (21 félög); 2011-05-05 3,25% (16 félög)",3,2011-06-01–2014-01-01 Ríkisútvarpið ohf. (Heildarsamningur) | 2014-02-01–2015-02-01 Ríkisútvarpið ohf. (Heildarsamningur) | 2008-07-01–2010-12-01 Ríkisútvarpið ohf. (Heildarsamningur),https://kjarasamningar.is/pdfs/samningur_657.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_660.pdf https://kjarasamningar.is/pdfs/samningur_656.pdf,of fáir punktar,14,2009-03-01 – 2027-01-01
,,,,,,,Félag fréttamanna,felag-frettamanna,fy-rikisutvarpid,Ríkisútvarpið,2017-05-01,2019-04-01,23,"4,50%",17.000 kr,"2018-05-01 3,75% (20 félög); 2017-06-01 2,50% (6 félög); 2018-05-01 3,00% (4 félög)",3,2019-04-01–2022-12-31 Ríkisútvarpið ohf. (Heildarsamningur) | 2015-05-01–2018-12-31 Ríkisútvarpið ohf. (Samkomulag) | 2015-05-01–2018-12-01 Ríkisútvarpið ohf. (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_661.pdf https://kjarasamningar.is/pdfs/samningur_658.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_658.pdf,of fáir punktar,14,2009-03-01 – 2027-01-01
,,,,,,,Félag fréttamanna,felag-frettamanna,fy-rikisutvarpid,Ríkisútvarpið,2025-01-01,2027-01-01,24,"3,50% / 23.750 kr","3,50% / 23.750 kr","2026-01-01 3,50% (32 félög); 2027-01-01 3,50% (32 félög); 2025-04-01 3,50% (31 félög); 2026-04-01 3,50% (30 félög)",1,2024-02-01–2028-02-01 Ríkisútvarpið ohf. (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_16.pdf,of fáir punktar,14,2009-03-01 – 2027-01-01
,,,,,,,Tollvarðafélag Íslands,tollvardafelag-islands,riki,Ríkið,2003-01-01,2005-05-01,28,"3,00%","1,75%","2005-01-01 3,00% (29 félög); 2004-04-19 3,25% (15 félög); 2004-01-01 3,00% (5 félög)",2,"2005-05-01–2008-10-31 Ríkissjóður, SNR (Heildarsamningur) | 2001-05-01–2005-11-30 Ríkissjóður, SNR (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_566.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_565.pdf,samfelld,14,2002-01-01 – 2027-04-01
,,,,,,,Tollvarðafélag Íslands,tollvardafelag-islands,riki,Ríkið,2008-01-01,2019-04-01,135,"2,50%",17.000 kr,"2011-06-01 4,25% (26 félög); 2012-02-01 3,50% (22 félög); 2013-02-01 3,25% (21 félög); 2017-05-01 4,50% (20 félög)",3,"2008-11-01–2009-05-01 Ríkissjóður, SNR (Samkomulag) | 2009-07-01–2010-11-30 Ríkissjóður, SNR (Gerðardómur) | 2011-05-01–2014-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_571.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_568.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_570.pdf,samfelld,14,2002-01-01 – 2027-04-01
,,,,,,,Tollvarðafélag Íslands,tollvardafelag-islands,riki,Ríkið,2022-01-01,2024-04-01,27,25.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_572.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1626.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_569.pdf,samfelld,14,2002-01-01 – 2027-04-01
,,,,,,,Blaðamannafélag Íslands,bladamannafelag-islands,sa,Samtök atvinnulífsins,2018-05-01,2020-03-01,22,"3,00%",17.000 kr,,3,"2020-03-01–2022-01-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2015-05-01–2018-05-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2019-12-01–2022-11-01 Birtings, útgáfufélags ehf. (Viðauki)",https://kjarasamningar.hestafl.is/pdfs/samningur_510.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_512.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_118.pdf,of fáir punktar,12,2015-05-01 – 2027-01-01
,,,,,,,Blaðamannafélag Íslands,bladamannafelag-islands,sa,Samtök atvinnulífsins,2025-01-01,2027-01-01,24,"3,50% / 23.750 kr","3,50% / 23.750 kr","2026-01-01 3,50% (32 félög); 2027-01-01 3,50% (32 félög); 2025-04-01 3,50% (31 félög); 2026-04-01 3,50% (30 félög)",3,"2024-02-01–2028-02-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2024-02-01–2028-02-01 Bændasamtök Íslands (Heildarsamningur) | 2024-02-01–2028-02-01 Myllustetur ehf. (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/bi_sa_2024_2028.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1623.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1458.pdf,of fáir punktar,12,2015-05-01 – 2027-01-01
,,,,,,,Félag íslenskra náttúrufræðinga,felag-islenskra-natturufraedinga,riki,Óþekktur mótaðili,2004-01-01,2007-05-01,40,"3,00%","2,00%","2007-01-01 2,25% (31 félög); 2005-01-01 3,00% (29 félög); 2006-01-01 2,50% (26 félög); 2004-04-19 3,25% (15 félög)",1,"2005-03-01–2008-04-30 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/26c0c969-f5d9-4273-8172-cbc3700e425a.pdf,samfelld,10,2001-12-31 – 2027-04-01
,,,,,,,Félag íslenskra náttúrufræðinga,felag-islenskra-natturufraedinga,riki,Óþekktur mótaðili,2007-05-01,2022-01-01,176,"2,00%",17.000 kr,"2022-01-01 2,50% (28 félög); 2011-06-01 4,25% (26 félög); 2012-02-01 3,50% (22 félög); 2013-02-01 3,25% (21 félög)",3,"2011-05-01–2014-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2014-03-01–2015-04-01 Ríkissjóður, SNR (Samkomulag) | 2015-05-01–2019-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_791.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_519.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_520.pdf,samfelld,10,2001-12-31 – 2027-04-01
,,,,,,,Félag íslenskra náttúrufræðinga,felag-islenskra-natturufraedinga,riki,Óþekktur mótaðili,2022-01-01,2024-04-01,27,17.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_715.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_522.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1861.pdf,samfelld,10,2001-12-31 – 2027-04-01
,,,,,,,Félag háskólakennara,felag-haskolakennara,riki,Ríkið,2022-01-01,2024-04-01,27,17.250 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",2,"2023-04-01–2024-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_726.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_502.pdf,samfelld,9,2019-04-01 – 2027-04-01
,,,,,,,Leikarafélag Íslands,leikarafelag-islands,riki,Ríkið,2022-01-01,2024-04-01,27,"2,50%","3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_394.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_52.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1.pdf,samfelld,9,2019-04-01 – 2027-04-01
,,,,,,,Félag geislafræðinga,felag-geislafraedinga,riki,Ríkið,2022-01-01,2024-04-01,27,17.250 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2024-04-01–2028-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_731.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1791.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1353.pdf,samfelld,8,2019-04-01 – 2027-04-01
,,,,,,,Félag háskólamenntaðra starfsmanna Stjórnarráðsins,felag-haskolamenntadra-starfsmanna-stjornarradsins,riki,Ríkið,2022-01-01,2024-04-01,27,17.250 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_21.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1342.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_724.pdf,samfelld,8,2019-04-01 – 2027-04-01
,,,,,,,Félag lífeindafræðinga,felag-lifeindafraedinga,riki,Ríkið,2022-01-01,2024-04-01,27,17.250 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_702.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1788.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_701.pdf,samfelld,8,2019-04-01 – 2027-04-01
,,,,,,,Félag íslenskra hjúkrunarfræðinga,felag-islenskra-hjukrunarfraedinga,riki,Ríkið,2022-01-01,2024-04-01,27,17.250 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-04-01 Ríkissjóður, SNR (Gerðardómur) | 2023-04-01–2024-03-01 Reykjavíkurborg (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_368.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_369.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_994.pdf,samfelld,8,2019-04-01 – 2027-04-01
,,,,,,,Sjúkraliðafélag Íslands,sjukralidafelag-islands,riki,Ríkið,2022-01-01,2024-04-01,27,25.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_492.pdf https://kjarasamningar.hestafl.is/pdfs/slfi_heildarsamningur_2024.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_495.pdf,samfelld,8,2019-04-01 – 2027-04-01
,,,,,,,Sálfræðingafélag Íslands,salfraedingafelag-islands,sveitarfelog,Samband íslenskra sveitarfélaga,2021-01-01,2023-03-31,26,"2,50%","0,85%","2022-01-01 2,50% (28 félög); 2022-11-01 4,99% (16 félög); 2022-11-01 6,75% (13 félög)",3,"2020-01-01–2023-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-01 Reykjavíkurborg (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_312.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_401.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1003.pdf,samfelld,8,2020-01-01 – 2027-04-01
,,,,,,,Viska,viska,riki,Ríkið,2022-01-01,2024-04-01,27,17.250 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2024-04-01–2028-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_522.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1656.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1861.pdf,samfelld,8,2019-04-01 – 2027-04-01
,,,,,,,Þroskaþjálfafélag Íslands,throskathjalfafelag-islands,riki,Ríkið,2022-01-01,2024-04-01,27,17.250 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-01 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_405.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1146.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_406.pdf,samfelld,8,2019-04-01 – 2027-04-01
,,,,,,,Dýralæknafélag Íslands,dyralaeknafelag-islands,sveitarfelog,Samband íslenskra sveitarfélaga,2021-01-01,2023-03-31,26,"2,50%","0,85%","2022-01-01 2,50% (28 félög); 2022-11-01 4,99% (16 félög); 2022-11-01 6,75% (13 félög)",3,"2020-01-01–2023-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2011-10-01–2025-05-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_1043.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_743.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_734.pdf,samfelld,7,2021-01-01 – 2027-04-01
,,,,,,,Félag skipstjórnarmanna,felag-skipstjornarmanna,riki,Ríkið,2012-03-01,2019-04-01,85,5.250 kr,17.000 kr,"2013-02-01 3,25% (21 félög); 2017-05-01 4,50% (20 félög); 2018-05-01 3,75% (20 félög); 2016-01-01 7,20% (17 félög)",3,"2014-03-01–2015-04-01 Ríkissjóður, SNR, Landhelgisgæsla Íslands (Samkomulag) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag) | 2011-05-01–2014-03-31 Ríkissjóður, SNR (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_383.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_382.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_791.pdf,of fáir punktar,7,2011-12-13 – 2025-04-01
,,,,,,,Félag skipstjórnarmanna,felag-skipstjornarmanna,riki,Ríkið,2022-01-01,2025-04-01,39,17.250 kr,"3,50% / 23.750 kr","2025-01-01 3,50% (34 félög); 2024-02-01 3,25% (32 félög); 2025-04-01 3,50% (30 félög); 2024-04-01 3,50% (22 félög)",3,"2023-04-01–2024-03-31 Ríkissjóður, SNR, Landhelgisgæsla Íslands (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR, Landhelgisgæsla Íslands (Samkomulag) | 2024-04-01–2028-03-01 Ríkissjóður, SNR, Hafrannsóknastofnunin (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_380.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_fs_landhelgi_2024.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_fs_snr_2024.pdf,of fáir punktar,7,2011-12-13 – 2025-04-01
,,,,,,,Landssamband slökkviliðs- og sjúkraflutningamanna,landssamband-slokkvilids-og-sjukraflutningamanna,riki,Ríkið,2022-01-01,2024-04-01,27,25.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2024-04-01–2028-03-31 Ríkissjóður, SNR (Heildarsamningur) | 2019-04-01–2023-03-31 Ríkissjóður, SNR (Kjarasamningur) | 2024-02-01–2028-02-01 Isavia ohf. (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_1707.pdf https://kjarasamningar.hestafl.is/pdfs/7d9eed06-e649-4635-abd2-51ab3de318c9.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1706.pdf,samfelld,7,2020-04-01 – 2027-04-01
,,,,,,,Samband stjórnendafélaga,samband-stjornendafelaga,riki,Ríkið,2022-01-01,2024-04-01,27,25.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-31 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-31 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_419.pdf https://kjarasamningar.hestafl.is/pdfs/Samband_stjornendafelaga_og_SNR_undirritadur_kjarasamningur_okt.2024_1.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_418.pdf,samfelld,7,2020-04-01 – 2027-04-01
,,,,,,,Félag prófessora við ríkisháskóla,felag-professora-vid-rikishaskola,riki,Ríkið,2020-09-01,2024-04-01,43,17.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2022-01-01 2,50% (28 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_698.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_fpr_2024.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_699.pdf,samfelld,6,2019-04-01 – 2027-04-01
,,,,,,,Félag íslenskra hljómlistarmanna,felag-islenskra-hljomlistarmanna,sveitarfelog,Samband íslenskra sveitarfélaga,2022-01-01,2024-04-01,27,"2,50%","3,25% / 23.750 kr","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (22 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,2022-01-01–2023-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2023-04-01–2024-05-01 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2020-01-01–2023-09-30 Samband íslenskra sveitarfélaga (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_1038.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_37.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_106.pdf,samfelld,6,2022-01-01 – 2027-04-01
