Mánuður,Eining,gildi
1993M03,Vísitölugildi,131.1
1993M03,"Mánaðarbreyting, %",0.2
1993M03,"Ársbreyting, %",2.3
1993M04,Vísitölugildi,131.1
1993M04,"Mánaðarbreyting, %",0
1993M04,"Ársbreyting, %",2.3
1993M05,Vísitölugildi,131.2
1993M05,"Mánaðarbreyting, %",0.1
1993M05,"Ársbreyting, %",0.9
1993M06,Vísitölugildi,131.3
1993M06,"Mánaðarbreyting, %",0.1
1993M06,"Ársbreyting, %",0.9
1993M07,Vísitölugildi,131.3
1993M07,"Mánaðarbreyting, %",0
1993M07,"Ársbreyting, %",0.8
1993M08,Vísitölugildi,131.3
1993M08,"Mánaðarbreyting, %",0
1993M08,"Ársbreyting, %",0.8
1993M09,Vísitölugildi,131.5
1993M09,"Mánaðarbreyting, %",0.2
1993M09,"Ársbreyting, %",0.9
1993M10,Vísitölugildi,131.5
1993M10,"Mánaðarbreyting, %",0
1993M10,"Ársbreyting, %",0.8
1993M11,Vísitölugildi,131.8
1993M11,"Mánaðarbreyting, %",0.2
1993M11,"Ársbreyting, %",1.1
1993M12,Vísitölugildi,131.9
1993M12,"Mánaðarbreyting, %",0.1
1993M12,"Ársbreyting, %",0.9
1994M01,Vísitölugildi,131.9
1994M01,"Mánaðarbreyting, %",0
1994M01,"Ársbreyting, %",0.9
1994M02,Vísitölugildi,132
1994M02,"Mánaðarbreyting, %",0.1
1994M02,"Ársbreyting, %",0.9
1994M03,Vísitölugildi,132.1
1994M03,"Mánaðarbreyting, %",0.1
1994M03,"Ársbreyting, %",0.8
1994M04,Vísitölugildi,132.2
1994M04,"Mánaðarbreyting, %",0.1
1994M04,"Ársbreyting, %",0.8
1994M05,Vísitölugildi,132.2
1994M05,"Mánaðarbreyting, %",0
1994M05,"Ársbreyting, %",0.8
1994M06,Vísitölugildi,133.1
1994M06,"Mánaðarbreyting, %",0.7
1994M06,"Ársbreyting, %",1.4
1994M07,Vísitölugildi,133.1
1994M07,"Mánaðarbreyting, %",0
1994M07,"Ársbreyting, %",1.4
1994M08,Vísitölugildi,133.2
1994M08,"Mánaðarbreyting, %",0.1
1994M08,"Ársbreyting, %",1.4
1994M09,Vísitölugildi,133.3
1994M09,"Mánaðarbreyting, %",0.1
1994M09,"Ársbreyting, %",1.4
1994M10,Vísitölugildi,133.6
1994M10,"Mánaðarbreyting, %",0.2
1994M10,"Ársbreyting, %",1.6
1994M11,Vísitölugildi,133.7
1994M11,"Mánaðarbreyting, %",0.1
1994M11,"Ársbreyting, %",1.4
1994M12,Vísitölugildi,133.8
1994M12,"Mánaðarbreyting, %",0.1
1994M12,"Ársbreyting, %",1.4
1995M01,Vísitölugildi,133.9
1995M01,"Mánaðarbreyting, %",0.1
1995M01,"Ársbreyting, %",1.5
1995M02,Vísitölugildi,134.8
1995M02,"Mánaðarbreyting, %",0.7
1995M02,"Ársbreyting, %",2.1
1995M03,Vísitölugildi,136.6
1995M03,"Mánaðarbreyting, %",1.3
1995M03,"Ársbreyting, %",3.4
1995M04,Vísitölugildi,137.3
1995M04,"Mánaðarbreyting, %",0.5
1995M04,"Ársbreyting, %",3.9
1995M05,Vísitölugildi,138.8
1995M05,"Mánaðarbreyting, %",1.1
1995M05,"Ársbreyting, %",5
1995M06,Vísitölugildi,139.6
1995M06,"Mánaðarbreyting, %",0.6
1995M06,"Ársbreyting, %",4.9
1995M07,Vísitölugildi,139.7
1995M07,"Mánaðarbreyting, %",0.1
1995M07,"Ársbreyting, %",5
1995M08,Vísitölugildi,140.3
1995M08,"Mánaðarbreyting, %",0.4
1995M08,"Ársbreyting, %",5.3
1995M09,Vísitölugildi,140.8
1995M09,"Mánaðarbreyting, %",0.4
1995M09,"Ársbreyting, %",5.6
1995M10,Vísitölugildi,141.2
1995M10,"Mánaðarbreyting, %",0.3
1995M10,"Ársbreyting, %",5.7
1995M11,Vísitölugildi,141.5
1995M11,"Mánaðarbreyting, %",0.2
1995M11,"Ársbreyting, %",5.8
1995M12,Vísitölugildi,141.8
1995M12,"Mánaðarbreyting, %",0.2
1995M12,"Ársbreyting, %",6
1996M01,Vísitölugildi,146.7
1996M01,"Mánaðarbreyting, %",3.5
1996M01,"Ársbreyting, %",9.6
1996M02,Vísitölugildi,146.9
1996M02,"Mánaðarbreyting, %",0.1
1996M02,"Ársbreyting, %",9
1996M03,Vísitölugildi,147.4
1996M03,"Mánaðarbreyting, %",0.3
1996M03,"Ársbreyting, %",7.9
1996M04,Vísitölugildi,147.4
1996M04,"Mánaðarbreyting, %",0
1996M04,"Ársbreyting, %",7.4
1996M05,Vísitölugildi,147.8
1996M05,"Mánaðarbreyting, %",0.3
1996M05,"Ársbreyting, %",6.5
1996M06,Vísitölugildi,147.9
1996M06,"Mánaðarbreyting, %",0.1
1996M06,"Ársbreyting, %",5.9
1996M07,Vísitölugildi,147.9
1996M07,"Mánaðarbreyting, %",0
1996M07,"Ársbreyting, %",5.9
1996M08,Vísitölugildi,147.9
1996M08,"Mánaðarbreyting, %",0
1996M08,"Ársbreyting, %",5.4
1996M09,Vísitölugildi,148
1996M09,"Mánaðarbreyting, %",0.1
1996M09,"Ársbreyting, %",5.1
1996M10,Vísitölugildi,148.2
1996M10,"Mánaðarbreyting, %",0.1
1996M10,"Ársbreyting, %",5
1996M11,Vísitölugildi,148.2
1996M11,"Mánaðarbreyting, %",0
1996M11,"Ársbreyting, %",4.7
1996M12,Vísitölugildi,148.7
1996M12,"Mánaðarbreyting, %",0.3
1996M12,"Ársbreyting, %",4.9
1997M01,Vísitölugildi,148.8
1997M01,"Mánaðarbreyting, %",0.1
1997M01,"Ársbreyting, %",1.4
1997M02,Vísitölugildi,148.9
1997M02,"Mánaðarbreyting, %",0.1
1997M02,"Ársbreyting, %",1.4
1997M03,Vísitölugildi,149.5
1997M03,"Mánaðarbreyting, %",0.4
1997M03,"Ársbreyting, %",1.4
1997M04,Vísitölugildi,154.1
1997M04,"Mánaðarbreyting, %",3.1
1997M04,"Ársbreyting, %",4.5
1997M05,Vísitölugildi,156.7
1997M05,"Mánaðarbreyting, %",1.7
1997M05,"Ársbreyting, %",6
1997M06,Vísitölugildi,157.1
1997M06,"Mánaðarbreyting, %",0.3
1997M06,"Ársbreyting, %",6.2
1997M07,Vísitölugildi,157.9
1997M07,"Mánaðarbreyting, %",0.5
1997M07,"Ársbreyting, %",6.8
1997M08,Vísitölugildi,158
1997M08,"Mánaðarbreyting, %",0.1
1997M08,"Ársbreyting, %",6.8
1997M09,Vísitölugildi,158.5
1997M09,"Mánaðarbreyting, %",0.3
1997M09,"Ársbreyting, %",7.1
1997M10,Vísitölugildi,159.3
1997M10,"Mánaðarbreyting, %",0.5
1997M10,"Ársbreyting, %",7.5
1997M11,Vísitölugildi,159.8
1997M11,"Mánaðarbreyting, %",0.3
1997M11,"Ársbreyting, %",7.8
1997M12,Vísitölugildi,160.7
1997M12,"Mánaðarbreyting, %",0.6
1997M12,"Ársbreyting, %",8.1
1998M01,Vísitölugildi,167.9
1998M01,"Mánaðarbreyting, %",4.5
1998M01,"Ársbreyting, %",12.8
1998M02,Vísitölugildi,168.4
1998M02,"Mánaðarbreyting, %",0.3
1998M02,"Ársbreyting, %",13.1
1998M03,Vísitölugildi,168.7
1998M03,"Mánaðarbreyting, %",0.2
1998M03,"Ársbreyting, %",12.8
1998M04,Vísitölugildi,169.2
1998M04,"Mánaðarbreyting, %",0.3
1998M04,"Ársbreyting, %",9.8
1998M05,Vísitölugildi,169.4
1998M05,"Mánaðarbreyting, %",0.1
1998M05,"Ársbreyting, %",8.1
1998M06,Vísitölugildi,169.9
1998M06,"Mánaðarbreyting, %",0.3
1998M06,"Ársbreyting, %",8.1
1998M07,Vísitölugildi,170.4
1998M07,"Mánaðarbreyting, %",0.3
1998M07,"Ársbreyting, %",7.9
1998M08,Vísitölugildi,171.4
1998M08,"Mánaðarbreyting, %",0.6
1998M08,"Ársbreyting, %",8.5
1998M09,Vísitölugildi,171.7
1998M09,"Mánaðarbreyting, %",0.2
1998M09,"Ársbreyting, %",8.3
1998M10,Vísitölugildi,172.1
1998M10,"Mánaðarbreyting, %",0.2
1998M10,"Ársbreyting, %",8
1998M11,Vísitölugildi,172.5
1998M11,"Mánaðarbreyting, %",0.2
1998M11,"Ársbreyting, %",7.9
1998M12,Vísitölugildi,173.3
1998M12,"Mánaðarbreyting, %",0.5
1998M12,"Ársbreyting, %",7.8
1999M01,Vísitölugildi,180.4
1999M01,"Mánaðarbreyting, %",4.1
1999M01,"Ársbreyting, %",7.4
1999M02,Vísitölugildi,180.9
1999M02,"Mánaðarbreyting, %",0.3
1999M02,"Ársbreyting, %",7.4
1999M03,Vísitölugildi,181.2
1999M03,"Mánaðarbreyting, %",0.2
1999M03,"Ársbreyting, %",7.4
1999M04,Vísitölugildi,181.4
1999M04,"Mánaðarbreyting, %",0.1
1999M04,"Ársbreyting, %",7.2
1999M05,Vísitölugildi,181.6
1999M05,"Mánaðarbreyting, %",0.1
1999M05,"Ársbreyting, %",7.2
1999M06,Vísitölugildi,181.8
1999M06,"Mánaðarbreyting, %",0.1
1999M06,"Ársbreyting, %",7
1999M07,Vísitölugildi,182
1999M07,"Mánaðarbreyting, %",0.1
1999M07,"Ársbreyting, %",6.8
1999M08,Vísitölugildi,182.2
1999M08,"Mánaðarbreyting, %",0.1
1999M08,"Ársbreyting, %",6.3
1999M09,Vísitölugildi,182.5
1999M09,"Mánaðarbreyting, %",0.2
1999M09,"Ársbreyting, %",6.3
1999M10,Vísitölugildi,182.9
1999M10,"Mánaðarbreyting, %",0.2
1999M10,"Ársbreyting, %",6.3
1999M11,Vísitölugildi,183.5
1999M11,"Mánaðarbreyting, %",0.3
1999M11,"Ársbreyting, %",6.4
1999M12,Vísitölugildi,184
1999M12,"Mánaðarbreyting, %",0.3
1999M12,"Ársbreyting, %",6.2
2000M01,Vísitölugildi,186.9
2000M01,"Mánaðarbreyting, %",1.6
2000M01,"Ársbreyting, %",3.6
2000M02,Vísitölugildi,189.3
2000M02,"Mánaðarbreyting, %",1.3
2000M02,"Ársbreyting, %",4.6
2000M03,Vísitölugildi,189.6
2000M03,"Mánaðarbreyting, %",0.2
2000M03,"Ársbreyting, %",4.6
2000M04,Vísitölugildi,191.1
2000M04,"Mánaðarbreyting, %",0.8
2000M04,"Ársbreyting, %",5.3
2000M05,Vísitölugildi,194.5
2000M05,"Mánaðarbreyting, %",1.8
2000M05,"Ársbreyting, %",7.1
2000M06,Vísitölugildi,195.7
2000M06,"Mánaðarbreyting, %",0.6
2000M06,"Ársbreyting, %",7.6
2000M07,Vísitölugildi,196.4
