Mánuður,Vísitala,Launþegahópur,Eining,gildi
2015M04,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2015M04,Vísitala grunnlauna,Alls,Vísitölugildi,75.7
2015M04,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.3
2015M04,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,75.5
2015M04,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.4
2015M04,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,76.5
2015M04,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2015M04,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,75.6
2015M04,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2015M04,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.7
2015M04,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2015M05,Launavísitala,Alls,Vísitölugildi,75.4
2015M05,Launavísitala,Alls,"Mánaðarbreyting, %",0.5
2015M05,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,75.4
2015M05,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.4
2015M05,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,74.9
2015M05,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",1
2015M05,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,73.8
2015M05,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2015M05,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,76.4
2015M05,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",2
2015M05,Vísitala grunnlauna,Alls,Vísitölugildi,75.8
2015M05,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.2
2015M05,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,75.7
