Mánuður,Vísitala,Launþegahópur,Eining,gildi
2017M03,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,89.6
2017M03,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2017M03,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",8.3
2017M03,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,90.6
2017M03,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",1.3
2017M03,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",9
2017M03,Vísitala grunnlauna,Alls,Vísitölugildi,89.3
2017M03,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.4
2017M03,Vísitala grunnlauna,Alls,"Ársbreyting, %",5.4
2017M03,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,88.9
2017M03,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.3
2017M03,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",4.1
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,90.5
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.7
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",8.9
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,89.9
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",8.3
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,91.1
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",1.2
2017M03,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",9.6
2017M04,Launavísitala,Alls,Vísitölugildi,89.2
2017M04,Launavísitala,Alls,"Mánaðarbreyting, %",0.2
2017M04,Launavísitala,Alls,"Ársbreyting, %",4.9
2017M04,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,88.9
2017M04,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0
2017M04,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",3.5
2017M04,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,90.1
2017M04,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2017M04,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",8.4
2017M04,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,89.7
2017M04,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2017M04,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",8.3
2017M04,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,90.6
2017M04,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2017M04,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",8.5
2017M04,Vísitala grunnlauna,Alls,Vísitölugildi,89.5
2017M04,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.2
2017M04,Vísitala grunnlauna,Alls,"Ársbreyting, %",4.8
2017M04,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,89.2
2017M04,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.3
2017M04,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",3.6
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,90.6
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",8.5
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,90
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",8.3
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,91.2
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2017M04,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",8.7
2017M05,Launavísitala,Alls,Vísitölugildi,92.1
2017M05,Launavísitala,Alls,"Mánaðarbreyting, %",3.2
2017M05,Launavísitala,Alls,"Ársbreyting, %",7.8
2017M05,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,92.7
2017M05,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",4.3
2017M05,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.4
2017M05,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,90.2
2017M05,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2017M05,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",8.4
2017M05,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,89.9
2017M05,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2017M05,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",8.4
2017M05,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,90.6
2017M05,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0
2017M05,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",8.3
2017M05,Vísitala grunnlauna,Alls,Vísitölugildi,92.4
2017M05,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",3.2
2017M05,Vísitala grunnlauna,Alls,"Ársbreyting, %",7.8
2017M05,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,92.9
2017M05,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",4.2
2017M05,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.5
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,90.6
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",8.4
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,90.1
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",8.3
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,91.2
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0
2017M05,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",8.5
2017M06,Launavísitala,Alls,Vísitölugildi,93
2017M06,Launavísitala,Alls,"Mánaðarbreyting, %",1
2017M06,Launavísitala,Alls,"Ársbreyting, %",7.3
2017M06,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,93.2
2017M06,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.5
2017M06,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.6
2017M06,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,92.8
2017M06,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",2.9
2017M06,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",6.5
2017M06,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,92.2
2017M06,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",2.5
2017M06,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.7
2017M06,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,93.5
2017M06,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",3.3
2017M06,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.6
2017M06,Vísitala grunnlauna,Alls,Vísitölugildi,93.4
2017M06,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",1.1
2017M06,Vísitala grunnlauna,Alls,"Ársbreyting, %",7.4
2017M06,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,93.4
2017M06,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.5
2017M06,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.6
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,93.3
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",2.9
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",6.7
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,92.5
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",2.6
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.9
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.2
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",3.3
2017M06,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.7
2017M07,Launavísitala,Alls,Vísitölugildi,93
2017M07,Launavísitala,Alls,"Mánaðarbreyting, %",0
2017M07,Launavísitala,Alls,"Ársbreyting, %",7.2
2017M07,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,93.2
2017M07,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0
2017M07,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.8
2017M07,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,93.2
2017M07,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.4
2017M07,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",6.7
2017M07,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,92.8
2017M07,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.6
2017M07,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.7
2017M07,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,93.7
2017M07,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.2
2017M07,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.7
2017M07,Vísitala grunnlauna,Alls,Vísitölugildi,93.6
2017M07,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.2
2017M07,Vísitala grunnlauna,Alls,"Ársbreyting, %",7.4
2017M07,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,93.6
2017M07,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.2
2017M07,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.6
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,93.6
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.3
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",6.7
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.5
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.8
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.4
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.2
2017M07,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.7
2017M08,Launavísitala,Alls,Vísitölugildi,93.2
2017M08,Launavísitala,Alls,"Mánaðarbreyting, %",0.2
2017M08,Launavísitala,Alls,"Ársbreyting, %",7.2
2017M08,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,93.2
2017M08,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0
2017M08,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.3
2017M08,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,93.3
2017M08,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2017M08,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",6.7
2017M08,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93
2017M08,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2017M08,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",6
2017M08,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,93.7
2017M08,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0
2017M08,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.5
2017M08,Vísitala grunnlauna,Alls,Vísitölugildi,93.7
2017M08,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.1
2017M08,Vísitala grunnlauna,Alls,"Ársbreyting, %",7.4
2017M08,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,93.7
2017M08,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.1
2017M08,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.6
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,93.7
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",6.7
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93.2
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.9
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.4
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0
2017M08,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.6
2017M09,Launavísitala,Alls,Vísitölugildi,93.9
2017M09,Launavísitala,Alls,"Mánaðarbreyting, %",0.8
2017M09,Launavísitala,Alls,"Ársbreyting, %",7.4
2017M09,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,94
2017M09,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.8
2017M09,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.3
2017M09,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,93.7
2017M09,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.4
2017M09,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",6.7
2017M09,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93.5
2017M09,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.5
2017M09,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",6.2
2017M09,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,93.9
2017M09,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.2
2017M09,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.4
2017M09,Vísitala grunnlauna,Alls,Vísitölugildi,94
2017M09,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.3
2017M09,Vísitala grunnlauna,Alls,"Ársbreyting, %",7.4
2017M09,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,94
2017M09,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.3
2017M09,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.6
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,93.9
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.2
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",6.6
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93.4
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.3
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.9
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.5
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2017M09,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.5
2017M10,Launavísitala,Alls,Vísitölugildi,94
2017M10,Launavísitala,Alls,"Mánaðarbreyting, %",0.1
2017M10,Launavísitala,Alls,"Ársbreyting, %",7.2
2017M10,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,94.2
2017M10,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.2
2017M10,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.4
2017M10,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,93.8
2017M10,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.2
2017M10,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",6.7
2017M10,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93.6
2017M10,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2017M10,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.8
2017M10,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.1
2017M10,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.2
2017M10,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.7
2017M10,Vísitala grunnlauna,Alls,Vísitölugildi,94.2
2017M10,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.2
2017M10,Vísitala grunnlauna,Alls,"Ársbreyting, %",7.3
2017M10,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,94.2
2017M10,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.2
2017M10,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.5
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,94.1
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.2
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",6.7
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93.7
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",6
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.7
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2017M10,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.6
2017M11,Launavísitala,Alls,Vísitölugildi,94.2
2017M11,Launavísitala,Alls,"Mánaðarbreyting, %",0.1
2017M11,Launavísitala,Alls,"Ársbreyting, %",7.1
2017M11,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,94.4
2017M11,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.2
2017M11,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.4
2017M11,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,94
2017M11,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2017M11,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",6.6
2017M11,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93.7
2017M11,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2017M11,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.8
2017M11,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.2
2017M11,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2017M11,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.6
2017M11,Vísitala grunnlauna,Alls,Vísitölugildi,94.3
2017M11,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.2
2017M11,Vísitala grunnlauna,Alls,"Ársbreyting, %",7.3
2017M11,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,94.4
2017M11,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.2
2017M11,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.4
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,94.2
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",6.6
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,93.8
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.7
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.7
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0
2017M11,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",7.6
2017M12,Launavísitala,Alls,Vísitölugildi,94.3
2017M12,Launavísitala,Alls,"Mánaðarbreyting, %",0.2
2017M12,Launavísitala,Alls,"Ársbreyting, %",6.9
2017M12,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,94.5
2017M12,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.1
2017M12,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.3
2017M12,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,94.2
2017M12,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.3
2017M12,Launavísitala,Opinberir starfsmenn - alls,"Ársbreyting, %",5.9
2017M12,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,94.1
2017M12,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.4
2017M12,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.4
2017M12,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.4
2017M12,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2017M12,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",6.4
2017M12,Vísitala grunnlauna,Alls,Vísitölugildi,94.5
2017M12,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",0.2
2017M12,Vísitala grunnlauna,Alls,"Ársbreyting, %",7.1
2017M12,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,94.6
2017M12,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.2
2017M12,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Ársbreyting, %",7.5
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,94.4
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.2
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Ársbreyting, %",5.7
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,94.1
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.3
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Ársbreyting, %",5.2
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,94.8
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2017M12,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Ársbreyting, %",6.3
2018M01,Launavísitala,Alls,Vísitölugildi,94.8
