heimild,heimild_heiti,skjal,adili_1,adili_2,rakning,samningur_fra,samningur_til,gildir_fra,tegund,prosenta,kronur,a_vid,artal_stada,tilvitnun
fin,Félag íslenskra náttúrufræðinga,fin/Riki_Heildarkjarasamningur.pdf,,,aðeins heimild,,,2004-01-01,prósenta,3.0,,launatafla,úr texta,"daga annarra en laugardaga og sunnudaga frá upphafi eða til loka starfstíma. 1.1.3 Launatöflur skv. gr. 1.1.1 taki þeim hækkunum sem hér segir: 1. janúar 2002 3,0% 1. janúar 2003 3,0% 1. janúar 2004 3,0% 1.2 Launaþrep 1.2.1 Í ramma A eru 6 launaþrep og raðast starfsmaður eftir aldri innan hans sem hér segir: 1. þrep: yngri en 25 ára 2. þrep: frá 25 ára aldri 3. þrep: frá 27 ára aldri"
samidn,Samiðn,samidn/kjarasamningur_or-_lokaskjal_-_10092006_-_samidn.pdf,Samiðnar sambands iðnfélaga f.h. aðildarfélaga,Orkuveitu Reykjavíkur,aðilar úr skjali,,,2004-01-01,prósenta,3.25,,launatafla,úr texta,"ngreint gildir jafnt um þá sem vinna samfellt hluta úr degi alla vikuna og þá sem vinna reglubundið t.d. einn dag í viku eða hluta af einum degi. 1.1.4 Mánaðarlaun skv. 1.1.1 hækka sem hér segir: 1. janúar 2004 hækkar launatafla skv. 1.1.1 um 3,25% 1. janúar 2005 hækkar launatafla skv. 1.1.1 um 3,00% 1. janúar 2006 hækkar launatafla skv. 1.1.1 um 2,50% 1. janúar 20"
afl,AFL Starfsgreinafélag,afl/veitogtjonustus.pdf,Samtaka atvinnulífsins,Starfsgreinasambands Íslands,aðilar úr skjali,,,2004-03-01,prósenta,3.25,,almenn laun,úr texta,"sem ráðnir eru til stjórnunarstarfa í skriflegum ráðningarsamningi. 1.2.5. Skilgreina skal starfssvið dyravarða í skriflegum ráðningarsamningi. 1.3. Launahækkanir 1.3.1. Laun hækka sem hér segir: 1. mars 2004 3,25%. 1. janúar 2005 3,00%, 1. janúar 2006 2,50%, 1. janúar 2007 2,25%. Aðrir kjaratengdir liðir taka sömu breytingu"
afl,AFL Starfsgreinafélag,afl/livafl.pdf,"skóla, stéttarfélags",fyrirtækis,aðilar úr skjali,,,2004-04-16,prósenta,3.25,,almenn laun,úr texta,"áss hf., Matbæjar hf. og Samkaupa hf. Um laun star fsfólks í gestamó ttöku og apót ekum ví sast t il viðkomandi samninga. 1.2. Launamyndun 1.2.1. H ækkun launa Öll laun hækka sem hér segir: 16. apríl 2004 3,25%, 1. janúar 2005 3,00%, 1. janúar 2006 2,50%, 1. janúar 2007 2,25% (2,9%) Aðrir k jaratengdir liðir tak a sö"
vr,VR,vr/utfararstofa_2004.pdf,Útfararstofu kirkjugarðanna,Verzlunarmannafélags Reykjavíkur,aðilar úr skjali,,,2004-04-16,prósenta og krónutala,3.25,5000,almenn laun,úr texta,"reinir, skal kjarasamningur milli Verzlunarmannafélags Reykjavíkur og Samtaka atvinnulífsins dags 21. apríl 2004 gilda. 2. grein. Launahækkanir verða sem hér segir á samningstímanum: Frá 16. apríl 2004 skulu laun hækka um 3,25%, auk kr. 5.000.- á mánuði. Frá 1. janúar 2001 3% Frá 1. janúar 2002 2,5% Frá 1. janúar 2003 2,25% 3. grein. Laun starfsmanna skulu vera ef"
afl,AFL Starfsgreinafélag,afl/kjarasamningursaogsamidn.pdf,Samtaka atvinnulífsins,Samiðnar ­ sambands,aðilar úr skjali,,,2004-04-26,prósenta,3.25,,óskilgreint,úr texta,"og mætingaskyldugjald. 1.1.1.3. Starfsaldur miðast við starfsaldur í starfsgrein frá sveinsprófi. 1.1.2. Launabreytingar á samningstímanum Laun og aðrir kjaratengdir liðir hækka sem hér segir: 26. apríl 2004 3,25%. 1. janúar 2005 3,0%, 1. janúar 2006 2,5% 1. janúar 2007 2,25%. 1.1.3. Taxtar nær greiddu kaupi Með samningi"
samidn,Samiðn,samidn/samningurmh2004.pdf,"Samiðnar - sambands iðnfélaga, vegna aðildarfélaga",Meistarafélags húsasmiða,aðilar úr skjali,,,2004-04-26,prósenta,3.25,,kauptaxtar,úr texta,"fyrirvörum sem í samningi þessum felast og falla þá úr gildi án sérstakrar uppsagnar. Samningur þessi gildir frá 1. maí 2004. 2. gr. Laun Laun og aðrir kjaratengdir liðir hækka sem hér segir: 26. apríl 2004 3,25%. 1. janúar 2005 3,0%, 1. janúar 2006 2,5% 1. janúar 2007 2,25%. 3. gr. Launataxtar Með gildistöku samning"
samidn,Samiðn,samidn/samidn_-_bilgreinasambandid_2004_-_endanlegt.pdf,Bílgreinasambandsins,Samiðnar - Sambands iðnfélaga,aðilar úr skjali,,,2004-05-01,prósenta,3.25,,óskilgreint,úr texta,".1.1.3. Við mat á starfsaldri til launa telst 22 ára aldur jafngilda eins árs starfi í starfsgrein. 1.1.2. Launabreytingar á samningstímanum Laun og aðrir kjaratengdir liðir hækka sem hér segir: 1. maí 2004 3,25%. 1. janúar 2005 3,0%, 1. janúar 2006 2,5% 1. janúar 2007 2,25%. 1.1.3 Taxtar nær greiddu kaupi Með sam ni"
afl,AFL Starfsgreinafélag,afl/ssiogasaaustf.pdf,Útvegsmannafélags Austfjarða og Samtaka atvinnulífsins,Alþýðusambands Austurlands,aðilar úr skjali,,,2004-10-30,prósenta,4.25,,óskilgreint,úr texta,"n, en hlut þeirra sem v antar skal reikna m.v. mönnun að honum meðtöldum. 1.03. Hækkun kaupliða. Frá gildistöku samnings þessa skulu kauptrygging og aðrir launaliðir hækka sem hér segir: Frá 30. október 2004 4,25% Þann 1. janúar 2005 3,00% Þann 1. janúar 2006 3,50% Þann 1. janúar 2007 2,25% Þann 1. janúar 2008 3,50% Tímakau"
afl,AFL Starfsgreinafélag,afl/ssiogliuhofn.pdf,Landsambands íslenskra útvegsmanna og Samtaka atvinnulífsins,Sjómannasambands Íslands,aðilar úr skjali,,,2004-10-30,prósenta,4.25,,óskilgreint,úr texta,"en hlut þess sem vantar skal reikna m.v. mönnun að honum meðtöldum. 1.03. Hækkun kaupliða. Frá gildistöku samnings þessa skulu kaupt rygging og aðrir la unaliðir hækka sem hér segir: Frá 30. október 2004 4,25% Þann 1. janúar 2005 3,00% Þann 1. janúar 2006 3,50% Þann 1. janúar 2007 2,25% Þann 1. janúar 2008 3,50% Tímakau"
