heimild,heimild_heiti,skjal,adili_1,adili_2,rakning,samningur_fra,samningur_til,gildir_fra,tegund,prosenta,kronur,a_vid,artal_stada,tilvitnun
vr,VR,vr/kjarasamningur_vr_fa_2011.pdf,LÍVog VR,Félags atvinnurekenda,aðilar úr skjali,,,2011-06-01,prósenta,4.25,,almenn laun,úr texta,"rvörum sem í samningi þessum felast. Samningur þessi gildir frá undirritun. 2. gr. Launabreytingar Launabreytingar þeirra sem ekki fá greitt samkvæmt lágmarkstaxta verða eftirfarandi: • Þann 1. júní 2011 hækka laun skv. kjarasamningi um 4,25% • Þann 1. febrúar 2012 hækka laun skv. kjarasamningi um 3,5% • Þann 1. febrúar 2013 hækka laun skv. kjarasamningi um 3,25%"
vr,VR,vr/kjarasamningur_vr_fa_2011.pdf,LÍVog VR,Félags atvinnurekenda,aðilar úr skjali,,,2011-06-01,krónutala,,12000,almenn laun,úr texta,"gi um 4,25% • Þann 1. febrúar 2012 hækka laun skv. kjarasamningi um 3,5% • Þann 1. febrúar 2013 hækka laun skv. kjarasamningi um 3,25% 3. gr. Lágmarkstaxtar skulu hækka sem hér segir: • Þann 1. júní 2011 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 12.000. • Þann 1. febrúar 2012 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 11.000. • Þann 1. febrúar 2013 skal lágmarkstaxti sk"
ki,Kennarasamband Íslands,ki/ff_fjolmennt_kjarasamningur_280514_i_gildi_010314til311016.pdf,Fjölmenntar ses,Kennarasambands Íslands,aðilar úr skjali,,,2011-08-11,prósenta,2.4,,launatafla,úr texta,"2015 Almenn uppbót ríkisstarfsmanna 2015 Á árinu 2016 Almenn uppbót ríkisstarfsmanna 2016 9 Grein 13 Brottfall álagsþreps Launataflan hækkar 1. mars 2014 um 2,4% og álagsþrep samkvæmt samkomulagi aðila dags. 11. ágúst 2011 fellur brott. Grein 14 Samningsforsendur Allar ákvarðanir nefndar sem starfar samkvæmt grein 14 samkvæmt kjarasam"
vm,VM - Félag vélstjóra og málmtæknimanna,vm/Heildartexti_Landsvirkjun_2021_hreint.pdf,Landsvirkjunar,VM Félags vélstjóra og málmtæknimanna,aðilar úr skjali,2011-06-22,2014-01-31,2012-01-01,prósenta og krónutala,2.5,25000,kauptaxtar,leiðrétt,"9 4. Kafli LAUNAÁKVÆÐI 4.1 Launaflokkar Kauptaxtar kjarasamningsins hækka á samningstímabilinu sem hér segir: 1. apríl 2019 kr. 17.000 1. apríl 2020 kr. 24.000 1. janúar 2021 kr. 24.000 1. janúar 2022 kr. 25.000 Aðrir launaliðir kjarasamningsins hækka um 2,5% á sömu dagsetningum, nema um annað hafi verið samið. Mánaðarlaun vélfræðings, sem gegnir fullu starfi, skulu frá og með 1. j anúar 2019 grei"
afl,AFL Starfsgreinafélag,afl/Kjarasamningur-AFLs-SA-2011.pdf,AFLs Starfsgreinafélags,Samtaka atvinnulífsins,aðilar úr skjali,2011-06-22,2014-01-31,2012-02-01,prósenta,3.5,,almenn laun,úr texta,"ábyrgð sem því fylgir. 12 Samningur SA og AFLs 1.2. Launabreytingar á samningstíma 1.2.1. Almenn launahækkun Almenn launahækkun á samningstímabilinu er sem hér segir: 1. júní 2011: 4,25% 1. febrúar 2012: 3,5% 1. febrúar 2013: 3,25% Aðrir kjaratengdir liðir taka sömu breytingum hlutfallslega á sömu dagsetningum, nema um annað"
afl,AFL Starfsgreinafélag,afl/SamningurGS-SA-veit-gisti-greidasst2012.pdf,SAMTAKA ATVINNULÍFSINS,STARFSGREINASAMBANDS ÍSLANDS,aðilar úr skjali,2011-06-22,2014-01-31,2012-02-01,prósenta,3.5,,almenn laun,úr texta,"fssvið dyra varða í skriflegum ráðningarsamningi. 1.3. Launabreytingar á samningstíma 1.3.1. Almenn launahækkun Almenn launahækkun á samningstímabilinu er sem hér segir: 1. júní 2011: 4,25% 1. febrúar 2012: 3,50% 1. febrúar 2013: 3,25% Aðrir kjaratengdir liðir taka sömu breytingum hlutfallslega á sömu dagsetningum, nema um annað"
framsyn,Framsýn stéttarfélag,framsyn/SGS_Kauptaxtar_1_feb_2012_almennir.pdf,,,aðeins heimild,,,2012-02-01,prósenta og krónutala,3.5,11000,kauptaxtar,úr texta,"................................................................................. 20 2 Launahækkanir á samningstímanum: Hækkun útgefna launataxta: Almenn hækkun fyrir utan launataxta: Hinn 1. febrúar 2012 kr. 11.000 3,50% Hinn 1. febrúar 2013 kr. 11.000 3,25%  Þann 1. febrúar 2012 hækka reiknitölur og föst álög í fiskvinnslu um 3,5% en þó"
framsyn,Framsýn stéttarfélag,framsyn/SGS_Kauptaxtar_1_feb_2012_almennir.pdf,,,aðeins heimild,,,2012-02-01,prósenta,3.5,,kauptaxtar,úr texta,"2 Launahækkanir á samningstímanum: Hækkun útgefna launataxta: Almenn hækkun fyrir utan launataxta: Hinn 1. febrúar 2012 kr. 11.000 3,50% Hinn 1. febrúar 2013 kr. 11.000 3,25%  Þann 1. febrúar 2012 hækka reiknitölur og föst álög í fiskvinnslu um 3,5% en þó ekki lægra en 10 kr.  Þann 1. febrúar 2013 hækka reiknitölur og föst álög í fiskvinnslu um 3,25% en þó ekki lægra en 9 kr. Lágmarkstekjur fyr"
framsyn,Framsýn stéttarfélag,framsyn/SGS_Kauptaxtar_1_feb_2012_almennir2.pdf,,,aðeins heimild,,,2012-02-01,prósenta og krónutala,3.5,11000,kauptaxtar,úr texta,"................................................................................. 20 2 Launahækkanir á samningstímanum: Hækkun útgefna launataxta: Almenn hækkun fyrir utan launataxta: Hinn 1. febrúar 2012 kr. 11.000 3,50% Hinn 1. febrúar 2013 kr. 11.000 3,25%  Þann 1. febrúar 2012 hækka reiknitölur og föst álög í fiskvinnslu um 3,5% en þó"
framsyn,Framsýn stéttarfélag,framsyn/SGS_Kauptaxtar_1_feb_2012_almennir2.pdf,,,aðeins heimild,,,2012-02-01,prósenta,3.5,,kauptaxtar,úr texta,"2 Launahækkanir á samningstímanum: Hækkun útgefna launataxta: Almenn hækkun fyrir utan launataxta: Hinn 1. febrúar 2012 kr. 11.000 3,50% Hinn 1. febrúar 2013 kr. 11.000 3,25%  Þann 1. febrúar 2012 hækka reiknitölur og föst álög í fiskvinnslu um 3,5% en þó ekki lægra en 10 kr.  Þann 1. febrúar 2013 hækka reiknitölur og föst álög í fiskvinnslu um 3,25% en þó ekki lægra en 9 kr. Lágmarkstekjur fyr"
framsyn,Framsýn stéttarfélag,framsyn/Samningur-beitning-LS-_-Framsýn-VA-og-VÞ-01.07.2011.pdf,"Framsýnar, Verkalýðsfélags Akraness, Verkalýðsfélags Þórshafnar",Landssambands smábátaeigenda,aðilar úr skjali,,,2012-02-01,krónutala,,11000,óskilgreint,úr texta,"a bjóða í hlutfalli við neðangreinda reglu. Kauptryggingin tekur þeim hækkunum sem verða á kjarasamningi Framsýnar, Verkalýðsfélags Akraness og Verkalýðsfélags Þórshafnar og SA á hverjum tíma. 1. febrúar 2012: kr. 11.000 – kauptrygging verði kr. 215.345 1. febrúar 2013: kr. 11.000 – kauptrygging verði kr. 226.345 Kauptrygging kr. 204.345,- / 2.229 pr 420 króka bjóð ="
framsyn,Framsýn stéttarfélag,framsyn/Samningur-beitning-LS-_-Framsýn-VA-og-VÞ-01.07.2011.pdf,"Framsýnar, Verkalýðsfélags Akraness, Verkalýðsfélags Þórshafnar",Landssambands smábátaeigenda,aðilar úr skjali,,,2012-02-01,krónutala,,5827,óskilgreint,úr texta,"ur, sloppur) skal fastráðinn beitningamaður hafa heimild til úttektar á vinnufatnaði hjá útgerðinni að upphæð kr. 5.528 á mánuði , sem skulu taka sömu hækkunum og aðrir kaupliðir samningsins. 1. febrúar 2012: kr. 5.827 1. febrúar 2013: kr. 6.124 Lausráðnir beitningamenn og starfsmenn við netafellingu skulu fá viðeigandi hlífðarfatna"
grafia,Grafía,grafia/Kauptaxtar_1.februar_2012.pdf,Félags bókagerðarmanna,Samtaka atvinnulífsins (SA),aðilar úr skjali,,,2012-02-01,prósenta,3.5,,almenn laun,úr texta,"orsendur, afgreiðslu kjarasamn- inga og önnur sameiginleg mál. Kjarasamningur þessi felur í sér breytingar og viðbætur við aðalkjarasamning FBM og aðalkjarasamning FGT- deildar. Almenn launahækkun 1. febrúar 2012, 3,5% 1. febrúar 2013, 3,25% Aðrir kjaratengdir liðir taka sömu breyt - ingum hlutfallslega á sömu dagsetningum, nema um anna"
verkvest,Verkalýðsfélag Vestfirðinga,verkvest/Kaupgjaldsskra_Verk-Vest_2012_-_allir-2.pdf,,,aðeins heimild,,,2012-02-01,krónutala,,11000,launatafla,úr texta,"................ 25 Kalkþörungaverksmiðjan á Bíldudal ........................................................................... 26 3 Launatafla skv. aðalkjarasamningi við SA: Gildir frá 1. feb. 2012. Hækkun frá síðustu kaupgjaldsskrá: kr. 11.000. 1. launaflokkur Mán. Dagv. Yfirv. Stórh. Byrjunarlaun 180.752 1.042,82 1.877,11 2.485,34 Eftir 1 ár 182.317 1.051,85 1.893,36 2.506,86 Eftir 3 ár 183.9"
vr,VR,vr/kjarasamningur_vr_fa_2011.pdf,LÍVog VR,Félags atvinnurekenda,aðilar úr skjali,,,2012-02-01,prósenta,3.5,,almenn laun,úr texta,"frá undirritun. 2. gr. Launabreytingar Launabreytingar þeirra sem ekki fá greitt samkvæmt lágmarkstaxta verða eftirfarandi: • Þann 1. júní 2011 hækka laun skv. kjarasamningi um 4,25% • Þann 1. febrúar 2012 hækka laun skv. kjarasamningi um 3,5% • Þann 1. febrúar 2013 hækka laun skv. kjarasamningi um 3,25% 3. gr. Lágmarkstaxtar skulu hækka sem hér segir: • Þann 1."
vr,VR,vr/kjarasamningur_vr_fa_2011.pdf,LÍVog VR,Félags atvinnurekenda,aðilar úr skjali,,,2012-02-01,krónutala,,11000,almenn laun,úr texta,"n 1. febrúar 2013 hækka laun skv. kjarasamningi um 3,25% 3. gr. Lágmarkstaxtar skulu hækka sem hér segir: • Þann 1. júní 2011 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 12.000. • Þann 1. febrúar 2012 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 11.000. • Þann 1. febrúar 2013 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 11.000. Lágmarkstaxti fyrir fullt starf verða því"
framsyn,Framsýn stéttarfélag,framsyn/Samflot-og-SNR-Launatafla_2011-2014.pdf,,,aðeins heimild,2011-01-01,2014-12-31,2012-03-01,prósenta eða krónutala,3.5,11000,launatafla,úr texta,"451.178 457.618 464.153 470.787 477.520 484.354 43 464.153 470.787 477.520 484.354 491.291 498.332 44 477.520 484.354 491.291 498.332 505.477 512.732 45 491.291 498.332 505.477 512.732 520.094 527.566 3,50% hækkun eða 11.000 kr. að lágmarki Launatöflur Launatafla með gildistíma frá 1. mars 2012 Lífaldur <20 ára 20 ára 23 ára 26 ára 30 ára 35 ára 1 2 3 4 5 6 1 191.656 193.416 195.203 197.017 198.85"
vm,VM - Félag vélstjóra og málmtæknimanna,vm/Kjarasamn-VM-Hafro-1-april-2019-til-31-mars-2023.pdf,fjármála- og efnahagsráðherra f.h. ríkissjóðs,VM – Félags vélstjóra og málmtæknimanna,aðilar úr skjali,,,2012-03-01,krónutala,,5250,óskilgreint,úr texta,"og stórhátíðardögum, greiðast að lágmarki 4 klst. á almennum yfirvinnutaxta, nema reglulegur vinnutími viðkomandi manns hefjist fyrr. 2.11 Greiðsla fyrir vinnu á stórhátíðum 2.11.1 Fyrir hvern unninn stórhátíðardag skv. gr. 2.13.3, fær vélstjóri sérstaka greiðslu sem nemur kr. 5.250 (1. mars 2012) , sem taki sömu breytingum og almennt grunnkaup. Sama greiðsla kemur fyrir sjómannadaginn ef skip er "
vm,VM - Félag vélstjóra og málmtæknimanna,vm/Kjarasamn-VM-LHG-1-april-2019-til-31-mars-2023.pdf,fjármála- og efnahagsráðherra f.h. ríkissjóðs,VM – Félags vélstjóra og málmtæknimanna,aðilar úr skjali,,,2012-03-01,krónutala,,5250,óskilgreint,úr texta,"og stórhátíðardögum, greiðast að lágmarki 4 klst. á almennum yfirvinnutaxta, nema reglulegur vinnutími viðkomandi manns hefjist fyrr. 2.11 Greiðsla fyrir vinnu á stórhátíðum 2.11.1 Fyrir hvern unninn stórhátíðardag skv. gr. 2.13.3, fær vélstjóri sérstaka greiðslu sem nemur kr. 5.250 (1. mars 2012) , sem taki sömu breytingum og almennt grunnkaup. Sama greiðsla kemur fyrir sjómannadaginn ef skip er "
afl,AFL Starfsgreinafélag,afl/Kjarasamningur-AFLs-SA-2011.pdf,AFLs Starfsgreinafélags,Samtaka atvinnulífsins,aðilar úr skjali,2011-06-22,2014-01-31,2013-02-01,prósenta,3.25,,kauptaxtar,úr texta,"12 Samningur SA og AFLs 1.2. Launabreytingar á samningstíma 1.2.1. Almenn launahækkun Almenn launahækkun á samningstímabilinu er sem hér segir: 1. júní 2011: 4,25% 1. febrúar 2012: 3,5% 1. febrúar 2013: 3,25% Aðrir kjaratengdir liðir taka sömu breytingum hlutfallslega á sömu dagsetningum, nema um annað hafi samist. 1.2.2. Sérstök hækkun ka uptaxta kjarasamnings Kauptaxtar kjarasamningsins taka sér"
afl,AFL Starfsgreinafélag,afl/Kjarasamningur_LIV-VR_og_SA-2011.pdf,Landsambands íslenzkra verzlunarmanna,Samtaka atvinnulífsins,aðilar úr skjali,2011-06-22,2014-01-31,2013-02-01,prósenta,4.25,,kauptaxtar,úr texta,"ðkomandi samninga. 1.2. Launamyndun 1.2.1. Hækkun launa Kauptaxtar Í stað áðurgildandi launataxta koma nýir sem eru hluti samnings þessa. Launataxtar gilda frá 1. júní 2011, 1. febrúar 2012 og 1. febrúar 2013. Hækkun mánaðarlauna 1.6. 2011 4,25%. 1.2. 2012 3,5%. 1.2. 2013 3.25%. Aðrir kjaratengdir liðir taka sömu breytingum hlutfallslega á sömu dagsetningum, nema um annað hafi samist. 7 1.2.2. Per"
afl,AFL Starfsgreinafélag,afl/SamningurGS-SA-veit-gisti-greidasst2012.pdf,SAMTAKA ATVINNULÍFSINS,STARFSGREINASAMBANDS ÍSLANDS,aðilar úr skjali,2011-06-22,2014-01-31,2013-02-01,prósenta,3.25,,kauptaxtar,úr texta,"legum ráðningarsamningi. 1.3. Launabreytingar á samningstíma 1.3.1. Almenn launahækkun Almenn launahækkun á samningstímabilinu er sem hér segir: 1. júní 2011: 4,25% 1. febrúar 2012: 3,50% 1. febrúar 2013: 3,25% Aðrir kjaratengdir liðir taka sömu breytingum hlutfallslega á sömu dagsetningum, nema um annað hafi samist. 1.3.2. Sérstök hækkun kauptaxta kjarasamnings Kauptaxtar kjarasamningsins taka sé"
framsyn,Framsýn stéttarfélag,framsyn/SGS_Kauptaxtar_1_feb_2012_almennir.pdf,,,aðeins heimild,,,2013-02-01,prósenta og krónutala,3.25,11000,kauptaxtar,úr texta,".......................................... 20 2 Launahækkanir á samningstímanum: Hækkun útgefna launataxta: Almenn hækkun fyrir utan launataxta: Hinn 1. febrúar 2012 kr. 11.000 3,50% Hinn 1. febrúar 2013 kr. 11.000 3,25%  Þann 1. febrúar 2012 hækka reiknitölur og föst álög í fiskvinnslu um 3,5% en þó ekki lægra en 10 kr.  Þann 1. febrúar 201"
framsyn,Framsýn stéttarfélag,framsyn/SGS_Kauptaxtar_1_feb_2012_almennir2.pdf,,,aðeins heimild,,,2013-02-01,prósenta og krónutala,3.25,11000,kauptaxtar,úr texta,".......................................... 20 2 Launahækkanir á samningstímanum: Hækkun útgefna launataxta: Almenn hækkun fyrir utan launataxta: Hinn 1. febrúar 2012 kr. 11.000 3,50% Hinn 1. febrúar 2013 kr. 11.000 3,25%  Þann 1. febrúar 2012 hækka reiknitölur og föst álög í fiskvinnslu um 3,5% en þó ekki lægra en 10 kr.  Þann 1. febrúar 201"
framsyn,Framsýn stéttarfélag,framsyn/SGS_kauptaxtar_1_feb_2013_almennir.pdf,Einingar-Iðju,Securitas hf. ............................................. 16,aðilar úr skjali,,,2013-02-01,krónutala,,11000,kauptaxtar,úr texta,".. 21 Réttur verkafólks til launa í veikinda- og slysatilfellum eftir almennum samningum ............. 23 3 Launahækkanir á samningstímanum • Hækkun útgefinna launataxta hinn 1. febrúar 2013 - kr. 11.000. • Almenn hækkun fyrir utan launataxta hinn 1. febrúar 2013 - 3,25%. • Þann 1. febrúar 2013 hækka reiknitölur og föst álög um 3,25% en þó ekki lægra en 9 kr."
framsyn,Framsýn stéttarfélag,framsyn/SGS_kauptaxtar_1_feb_2013_almennir.pdf,Einingar-Iðju,Securitas hf. ............................................. 16,aðilar úr skjali,,,2013-02-01,prósenta,3.25,,kauptaxtar,úr texta,"ennum samningum ............. 23 3 Launahækkanir á samningstímanum • Hækkun útgefinna launataxta hinn 1. febrúar 2013 - kr. 11.000. • Almenn hækkun fyrir utan launataxta hinn 1. febrúar 2013 - 3,25%. • Þann 1. febrúar 2013 hækka reiknitölur og föst álög um 3,25% en þó ekki lægra en 9 kr. Lágmarkstekjur fyrir fullt starf"
framsyn,Framsýn stéttarfélag,framsyn/Samningur-beitning-LS-_-Framsýn-VA-og-VÞ-01.07.2011.pdf,"Framsýnar, Verkalýðsfélags Akraness, Verkalýðsfélags Þórshafnar",Landssambands smábátaeigenda,aðilar úr skjali,,,2013-02-01,krónutala,,11000,óskilgreint,úr texta,"r þeim hækkunum sem verða á kjarasamningi Framsýnar, Verkalýðsfélags Akraness og Verkalýðsfélags Þórshafnar og SA á hverjum tíma. 1. febrúar 2012: kr. 11.000 – kauptrygging verði kr. 215.345 1. febrúar 2013: kr. 11.000 – kauptrygging verði kr. 226.345 Kauptrygging kr. 204.345,- / 2.229 pr 420 króka bjóð = 91,67 bjóð á mánuði Með beituskurði / 2.654 pr 500 króka bjóð = 77,00 bjóð á mánuði / 2.866 p"
grafia,Grafía,grafia/Kauptaxtar 01.02.13.pdf,Félags bókagerðarmanna,Samtaka atvinnulífsins,aðilar úr skjali,,,2013-02-01,prósenta,3.25,,kauptaxtar,úr texta,"orsendur, afgreiðslu kjarasamn- inga og önnur sameiginleg mál. Kjarasamningur þessi felur í sér breytingar og viðbætur við aðalkjarasamning FBM og aðalkjarasamning FGT- deildar. Almenn launahækkun 1. Febrúar 2013, 3,25% Aðrir kjaratengdir liðir taka sömu breyt - ingum hlutfallslega á sömu dagsetningum, nema um annað hafi samist. Kauptaxtar Í stað áðurgildandi launataxta koma nýir sem undirritaðir "
grafia,Grafía,grafia/Kauptaxtar_1.februar_2012.pdf,Félags bókagerðarmanna,Samtaka atvinnulífsins (SA),aðilar úr skjali,,,2013-02-01,prósenta,3.25,,kauptaxtar,úr texta,"jarasamn- inga og önnur sameiginleg mál. Kjarasamningur þessi felur í sér breytingar og viðbætur við aðalkjarasamning FBM og aðalkjarasamning FGT- deildar. Almenn launahækkun 1. febrúar 2012, 3,5% 1. febrúar 2013, 3,25% Aðrir kjaratengdir liðir taka sömu breyt - ingum hlutfallslega á sömu dagsetningum, nema um annað hafi samist. Kauptaxtar Í stað áðurgildandi launataxta koma nýir sem undirritaðir "
grafia,Grafía,grafia/prentarinn_2012.pdf,,,aðeins heimild,,,2013-02-01,prósenta og krónutala,3.25,11000,óskilgreint,úr texta,"sagt upp. Þar gildir hlutfalls - legt vald sambanda og félaga með beina aðild innan ASÍ. www.fbm.is Það er því ekki á valdi hvers og eins félags að segja upp samningum. Fari svo að samningum verði sagt upp kemur 3,25% launahækkun og 11.000 kr. hækkun kaup - taxta ekki til framkvæmda 1. febrúar 2013. Það er því mik- ilvægt að freista þess að ná jákvæðri niðurstöðu í samn - ingaferlinu til að tryggj"
sgs,Starfsgreinasamband Íslands,sgs/taxtar_sa_1-feb-2013.pdf,Einingar-Iðju,Securitas hf. ............................................. 16,aðilar úr skjali,,,2013-02-01,krónutala,,11000,kauptaxtar,úr texta,".. 21 Réttur verkafólks til launa í veikinda- og slysatilfellum eftir almennum samningum ............. 23 3 Launahækkanir á samningstímanum • Hækkun útgefinna launataxta hinn 1. febrúar 2013 - kr. 11.000. • Almenn hækkun fyrir utan launataxta hinn 1. febrúar 2013 - 3,25%. • Þann 1. febrúar 2013 hækka reiknitölur og föst álög um 3,25% en þó ekki lægra en 9 kr."
sgs,Starfsgreinasamband Íslands,sgs/taxtar_sa_1-feb-2013.pdf,Einingar-Iðju,Securitas hf. ............................................. 16,aðilar úr skjali,,,2013-02-01,prósenta,3.25,,kauptaxtar,úr texta,"ennum samningum ............. 23 3 Launahækkanir á samningstímanum • Hækkun útgefinna launataxta hinn 1. febrúar 2013 - kr. 11.000. • Almenn hækkun fyrir utan launataxta hinn 1. febrúar 2013 - 3,25%. • Þann 1. febrúar 2013 hækka reiknitölur og föst álög um 3,25% en þó ekki lægra en 9 kr. Lágmarkstekjur fyrir fullt starf"
vr,VR,vr/kjarasamningur_vr_fa_2011.pdf,LÍVog VR,Félags atvinnurekenda,aðilar úr skjali,,,2013-02-01,prósenta,3.25,,almenn laun,úr texta,"eirra sem ekki fá greitt samkvæmt lágmarkstaxta verða eftirfarandi: • Þann 1. júní 2011 hækka laun skv. kjarasamningi um 4,25% • Þann 1. febrúar 2012 hækka laun skv. kjarasamningi um 3,5% • Þann 1. febrúar 2013 hækka laun skv. kjarasamningi um 3,25% 3. gr. Lágmarkstaxtar skulu hækka sem hér segir: • Þann 1. júní 2011 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 12.000. • Þann 1. febrúar 2012"
vr,VR,vr/kjarasamningur_vr_fa_2011.pdf,LÍVog VR,Félags atvinnurekenda,aðilar úr skjali,,,2013-02-01,krónutala,,11000,óskilgreint,úr texta,skulu hækka sem hér segir: • Þann 1. júní 2011 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 12.000. • Þann 1. febrúar 2012 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 11.000. • Þann 1. febrúar 2013 skal lágmarkstaxti skv. kjarasamningi hækka um kr. 11.000. Lágmarkstaxti fyrir fullt starf verða því eftirfarandi; Þann 1. júní 2011 kr. 202.000.- á mánuði Þann 1. febrúar 2012 kr. 213.000.
vr,VR,vr/kjarasamningur_vr_og_sa_2011_oktober_2011.pdf,milli VR,Samtaka atvinnulífsins,aðilar úr skjali,2011-06-22,2014-01-31,2013-02-01,prósenta,4.25,,kauptaxtar,úr texta,"iðkomandi samninga. 1.2. Launamyndun 1.2.1. Hækkun launa Kauptaxtar Í stað áðurgildandi launataxta koma nýir sem eru hluti samnings þessa. Launataxtar gilda frá 1. júní 2011, 1. febrúar 2012 og 1. febrúar 2013. Hækkun mánaðarlauna 1.6. 2011 4,25%. 1.2. 2012 3,5%. 1.2. 2013 3.25%. Aðrir kjaratengdir liðir taka sömu breytingum hlutfallslega á sömu dagsetningum, nema um annað hafi samist. 7 1.2.2. Pe"
framsyn,Framsýn stéttarfélag,framsyn/Samflot-og-SNR-Launatafla_2011-2014.pdf,,,aðeins heimild,2011-01-01,2014-12-31,2013-03-01,prósenta eða krónutala,3.25,11000,launatafla,úr texta,"465.841 472.491 479.238 486.088 493.039 500.096 43 479.238 486.088 493.039 500.096 507.258 514.528 44 493.039 500.096 507.258 514.528 521.905 529.396 45 507.258 514.528 521.905 529.396 536.997 544.712 3,25% hækkun eða 11.000 kr. að lágmarki Launatöflur Launatafla með gildistíma frá 1. mars 2013"
afl,AFL Starfsgreinafélag,afl/kjarasamningur_asi_sa_2013.pdf,,,aðeins heimild,,,2014-01-01,prósenta með krónutölulágmarki,2.8,8000,kauptaxtar,úr texta,"mlengjast óbreyttir til 31. desember 2014, þ.m.t. sérkjarasamningar sem teljast hlutar aðalkjarasamninga, að því frátöldu að kaupliðir breytast sem hér segir: Kaupliðir Almenn launahækkun Hinn 1. janúar 2014 skulu laun og kauptaxtar hækka um 2,8%, þó að lágmarki kr. 8.000 á mánuði fyrir dagvinnu miðað við fullt starf. Aðrir kjaratengdir liðir hækka um 2,8% á sama tíma. Sérstök hækkun kauptaxta, 23"
asi,Alþýðusamband Íslands,asi/i-addraganda-kjarasamninga-2015-compressed.pdf,,,aðeins heimild,,,2014-01-01,prósenta,2.8,,almenn laun,úr texta,"launahækkun frá 1. janúar, þó að lágmarki 8.000 kr. á mánuði fyrir fullt starf og sérstaka 3 Fern heildarsamtök og þrenn samtök vinnuveitenda Kjarasamningar ASÍ og SA Dagsetning Hækkun Skýring 1. jan. 2014 2,8%, að lágmarki 8 þús .kr. Almenn launahækk un. 1. jan. 2014 1.750 kr . Hækkun launa taxta undir 230 þús.kr. 1. feb. 2014 14,6 þús.k r. Eingr eiðsla m.v. fullt starf,"
asi,Alþýðusamband Íslands,asi/i-addraganda-kjarasamninga-2015-compressed.pdf,,,aðeins heimild,,,2014-01-01,krónutala,,1750,almenn laun,úr texta,"yrir fullt starf og sérstaka 3 Fern heildarsamtök og þrenn samtök vinnuveitenda Kjarasamningar ASÍ og SA Dagsetning Hækkun Skýring 1. jan. 2014 2,8%, að lágmarki 8 þús .kr. Almenn launahækk un. 1. jan. 2014 1.750 kr . Hækkun launa taxta undir 230 þús.kr. 1. feb. 2014 14,6 þús.k r. Eingr eiðsla m.v. fullt starf, félög sem felldu desember samninginn. 17 hækkun um 1"
grafia,Grafía,grafia/Kauptaxtar 2014 3-1.pdf,Félags bókagerðarmanna,Samtaka atvinnulífsins,aðilar úr skjali,,,2014-01-01,prósenta,2.8,,kauptaxtar,úr texta,"u 6 mán. starfsþj. . 207.925 kr 47.984 kr 1.199,59 2.159,23 2.399,18 Eftir 6 mán. starfsþj. . . 217.768 kr 50.255 kr 1.256,38 2.261,45 2.512,76 Kauptaxti FBM frá og með 1. janúar 2014, almenn launahækkun 2,8% Vaktavinna Mánaðar- laun Vikulaun Dagvinna Yfirvinna Yfirvinna í vaktavinnu Vakt. 20% jafnaðarálag, tvískiptar 5 daga vaktir Sveinar . . . . . . . . . . . . 328.010 kr 75.696 kr 1"
sa,Samtök atvinnulífsins,sa/kjarasamningur-sa-og-vr.pdf,SAMTAKA ATVINNULÍFSINS,LANDSSAMBANDS ÍSLENZKRA,aðilar úr skjali,,,2014-01-01,prósenta með krónutölulágmarki,2.8,8000,kauptaxtar,úr texta,"i skóla, stéttarfélags og fyrirtækis. 1.1.4. Aðrir samningar Um l aun starfsfólks í gestamóttöku og apótekum vísast til viðkomandi samninga. 1.2. Launamyndun 1.2.1. Almenn launahækkun* Hinn 1. janúar 2014 skulu laun og kauptaxtar hækka um 2,8%, þó að lágmarki kr. 8.000 á mánuði fyrir dagvinnu miðað við fullt starf. Aðrir kjaratengdir liðir hækka um 2,8% á sama tíma. 1.2.2. Sérstök hækkun kauptaxta"
samidn,Samiðn,samidn/SAMNINGUR_heild_uppfaerdur_endanlegt.pdf,Bílgreinasambandsins,Samiðnar - Sambands iðnfélaga,aðilar úr skjali,2014-01-01,2015-02-28,2014-01-01,prósenta,2.8,,almenn laun,úr texta,"rfsaldri til launa telst 22 ára aldur jafngilda eins árs starfi í starfsgrein. 1.1.2. Launabreytingar á samningstímanum Launabreytingar Almenn launahækkun á samningstímabilinu er sem hér segir: 1.janúar 2014 hækka laun um 2,8% Aðrir launatengdir liðir taka sömu breytingum hlutfallslega á sömu dagsetningum nema um annað hafi samist. 1.1.3 Starfsmannaviðtöl Starfsmaður á rétt á viðtali við yfirmann "
