Ár,Ársfjórðungur,Launþegahópur,Breyting,gildi
2010,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,138.1
2010,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.2
2010,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",1
2010,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,143.9
2010,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.3
2010,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",2.1
2010,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,141.2
2010,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.5
2010,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",5.7
2010,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,141.3
2010,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.4
2010,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",1.9
2010,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,138.9
2010,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.6
2010,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",1.6
2010,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,144.2
2010,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.2
2010,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",2.3
2010,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,144.9
2010,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",2.6
2010,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",7.6
2010,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,142.3
2010,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.7
2010,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",2.2
2010,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,140.2
2010,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.9
2010,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",2.1
2010,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,144.9
2010,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.4
2010,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",2.3
2010,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,146
2010,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",0.8
2010,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",6.4
2010,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,143
2010,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.5
2010,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",1.9
2010,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,140.7
2010,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.4
2010,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",2.1
2010,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,145.8
2010,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.6
2010,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",1.7
2010,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,142.8
2010,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",6
2010,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,141.8
2010,Meðaltal ársins,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",1.9
2010,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,139.5
2010,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",1.7
2010,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,144.7
2010,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",2.1
2011,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,146.9
2011,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",0.6
2011,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",5.6
2011,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,143.3
2011,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.2
2011,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",1.9
2011,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,141.1
2011,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.2
2011,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",2.1
2011,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,146
2011,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.1
2011,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",1.5
2011,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,151.2
2011,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",2.9
2011,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",7.1
2011,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,145.4
2011,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.5
2011,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",3
2011,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,143.6
2011,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.8
2011,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",3.4
2011,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,147.7
2011,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.2
2011,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",2.4
2011,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,157.1
2011,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",3.9
2011,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",8.5
2011,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,152.9
2011,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",5.1
2011,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",7.4
2011,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,150.9
2011,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",5.1
2011,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",7.7
2011,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,155.2
2011,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",5.1
2011,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",7.1
2011,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,159.7
2011,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.6
2011,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",9.4
2011,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,155.5
2011,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.7
2011,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",8.7
2011,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,153.7
2011,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.8
2011,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",9.2
2011,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,157.7
2011,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.6
2011,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",8.1
2011,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,153.7
2011,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",7.6
2011,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,149.2
2011,Meðaltal ársins,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",5.2
2011,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,147.2
2011,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",5.5
2011,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,151.5
2011,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",4.7
2012,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,163.2
2012,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",2.2
2012,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",11.1
2012,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,158
2012,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.7
2012,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",10.3
2012,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,156.9
2012,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",2.1
2012,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",11.2
2012,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,159.4
2012,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.1
2012,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",9.2
2012,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,165.3
2012,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.3
2012,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",9.3
2012,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,160.7
2012,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.7
2012,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",10.5
2012,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,159.5
2012,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.6
2012,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",11.1
2012,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,162.1
2012,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.7
2012,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",9.8
2012,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,166.3
2012,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",0.6
2012,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",5.8
2012,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,161
2012,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.2
2012,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",5.3
2012,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,159.8
2012,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.2
2012,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",5.9
2012,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,162.4
2012,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.2
2012,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",4.7
2012,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,167.9
2012,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1
2012,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",5.1
2012,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,161.8
2012,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.5
2012,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",4.1
2012,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,160.2
2012,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.2
2012,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",4.3
2012,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,163.6
2012,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.7
2012,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",3.8
2012,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,165.6
2012,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",7.8
2012,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,160.4
2012,Meðaltal ársins,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",7.5
2012,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,159.1
2012,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",8.1
2012,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,161.9
2012,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",6.8
2013,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,172.6
2013,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",2.8
2013,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",5.8
2013,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,163.9
2013,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.3
2013,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",3.7
2013,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,162.6
2013,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.5
2013,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",3.6
2013,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,165.6
2013,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.2
2013,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",3.9
2013,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,175.4
2013,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.6
2013,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",6.1
2013,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,168.7
2013,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",2.9
2013,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",5
2013,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,167.6
2013,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",3.1
2013,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",5.1
2013,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,170.2
2013,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",2.8
2013,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",5
2013,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,176.4
2013,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",0.6
2013,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",6.1
2013,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,169.6
2013,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.5
2013,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",5.3
2013,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,168.8
2013,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.8
2013,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",5.7
2013,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,170.6
2013,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.2
2013,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",5
2013,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,178.2
2013,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1
2013,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",6.1
2013,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,170.7
2013,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.7
2013,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",5.5
2013,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,169.9
2013,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.6
2013,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",6.1
2013,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,171.7
2013,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.7
2013,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",4.9
2013,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,175.6
2013,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",6.1
2013,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,168.2
2013,Meðaltal ársins,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",4.9
2013,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,167.2
2013,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",5.1
2013,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,169.5
2013,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",4.7
2014,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,182.4
2014,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",2.4
2014,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",5.7
2014,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,172
2014,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.7
2014,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",4.9
2014,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,171.6
2014,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1
2014,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",5.6
2014,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,172.4
2014,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.4
2014,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",4.1
2014,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,185.5
2014,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.7
2014,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",5.8
2014,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,176.4
2014,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",2.6
2014,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",4.6
2014,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,176.8
2014,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",3
2014,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",5.5
2014,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,176.1
2014,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",2.1
2014,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",3.5
2014,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,186.7
2014,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",0.6
2014,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",5.9
2014,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,182.4
2014,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",3.4
2014,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",7.6
2014,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,180.4
2014,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",2
2014,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",6.8
2014,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,184.9
2014,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",5
2014,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",8.4
2014,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,188.9
2014,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.2
2014,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",6
2014,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,185.1
2014,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.5
2014,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",8.4
2014,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,181.5
