Ár,Ársfjórðungur,Launþegahópur,Breyting,gildi
2006,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,111.3
2006,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",2.3
2006,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",12.4
2006,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,112.1
2006,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",3.6
2006,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",11.4
2006,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,111.6
2006,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.7
2006,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",10.1
2006,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,111
2006,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",2.2
2006,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",9.1
2006,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,112.2
2006,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.8
2006,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",11.4
2006,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,114.3
2006,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.9
2006,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",11.5
2006,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,113.2
2006,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.4
2006,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",10.3
2006,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,112.2
2006,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.1
2006,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",9
2006,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,114.1
2006,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.7
2006,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",12.1
2006,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,110.3
2006,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",10.3
2006,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,110.4
2006,Meðaltal ársins,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",10.4
2006,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,109.4
2006,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",9.4
2006,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,111.6
2006,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",11.6
2007,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,119.1
2007,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",4.2
2007,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",11.7
2007,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,117.4
