Ár,Ársfjórðungur,Vísitala,gildi
2005,Ársmeðaltal,Þar af laun opinb. stm. og bankam.,144.4
2006,1. ársfjórðungur,Launavísitala,150.8
2006,1. ársfjórðungur,Þar af laun á alm. markaði,148.8
2006,1. ársfjórðungur,Þar af laun opinb. stm. og bankam.,153.7
2006,2. ársfjórðungur,Launavísitala,153.1
2006,2. ársfjórðungur,Þar af laun á alm. markaði,150.3
2006,2. ársfjórðungur,Þar af laun opinb. stm. og bankam.,157.4
2006,3. ársfjórðungur,Launavísitala,157.8
2006,3. ársfjórðungur,Þar af laun á alm. markaði,156.2
2006,3. ársfjórðungur,Þar af laun opinb. stm. og bankam.,160.1
2006,4. ársfjórðungur,Launavísitala,159.8
2006,4. ársfjórðungur,Þar af laun á alm. markaði,158
2006,4. ársfjórðungur,Þar af laun opinb. stm. og bankam.,162.4
2006,Ársmeðaltal,Launavísitala,155.4
2006,Ársmeðaltal,Þar af laun á alm. markaði,153.3
2006,Ársmeðaltal,Þar af laun opinb. stm. og bankam.,158.4
