Mánuður,Vísitala,Liður,gildi
1994M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0.12
1994M04,Vísitala neysluverðs,"Ársbreyting, %",2.4
1994M04,Vísitala neysluverðs án húsnæðis,Vísitala,174.1
1994M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.12
1994M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3
1994M05,Vísitala neysluverðs,Vísitala,169.9
1994M05,Vísitala neysluverðs,"Mánaðarbreyting, %",0
1994M05,Vísitala neysluverðs,"Ársbreyting, %",2.2
1994M05,Vísitala neysluverðs án húsnæðis,Vísitala,173.7
1994M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.23
1994M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.4
1994M06,Vísitala neysluverðs,Vísitala,170.1
1994M06,Vísitala neysluverðs,"Mánaðarbreyting, %",0.12
1994M06,Vísitala neysluverðs,"Ársbreyting, %",2.3
1994M06,Vísitala neysluverðs án húsnæðis,Vísitala,173.9
1994M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.12
1994M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.7
1994M07,Vísitala neysluverðs,Vísitala,170.4
1994M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.18
1994M07,Vísitala neysluverðs,"Ársbreyting, %",1.6
1994M07,Vísitala neysluverðs án húsnæðis,Vísitala,174.2
1994M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.17
1994M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.8
1994M08,Vísitala neysluverðs,Vísitala,170.5
1994M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0.06
1994M08,Vísitala neysluverðs,"Ársbreyting, %",0.8
1994M08,Vísitala neysluverðs án húsnæðis,Vísitala,174.4
1994M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.11
1994M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.9
1994M09,Vísitala neysluverðs,Vísitala,171
1994M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.29
1994M09,Vísitala neysluverðs,"Ársbreyting, %",0.7
1994M09,Vísitala neysluverðs án húsnæðis,Vísitala,175.1
1994M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.4
1994M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1
1994M10,Vísitala neysluverðs,Vísitala,170.8
1994M10,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.12
1994M10,Vísitala neysluverðs,"Ársbreyting, %",0
1994M10,Vísitala neysluverðs án húsnæðis,Vísitala,174.7
1994M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.23
1994M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0
1994M11,Vísitala neysluverðs,Vísitala,170.7
1994M11,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.06
1994M11,Vísitala neysluverðs,"Ársbreyting, %",-0.1
1994M11,Vísitala neysluverðs án húsnæðis,Vísitala,174.5
1994M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.11
1994M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",-0.2
1994M12,Vísitala neysluverðs,Vísitala,170.8
1994M12,Vísitala neysluverðs,"Mánaðarbreyting, %",0.06
1994M12,Vísitala neysluverðs,"Ársbreyting, %",0.5
1994M12,Vísitala neysluverðs án húsnæðis,Vísitala,174.4
1994M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.06
1994M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.1
1995M01,Vísitala neysluverðs,Vísitala,172.1
1995M01,Vísitala neysluverðs,"Mánaðarbreyting, %",0.76
1995M01,Vísitala neysluverðs,"Ársbreyting, %",1.7
1995M01,Vísitala neysluverðs án húsnæðis,Vísitala,175.3
1995M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.52
1995M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1
1995M02,Vísitala neysluverðs,Vísitala,172.3
1995M02,Vísitala neysluverðs,"Mánaðarbreyting, %",0.12
1995M02,Vísitala neysluverðs,"Ársbreyting, %",1.7
1995M02,Vísitala neysluverðs án húsnæðis,Vísitala,175.6
1995M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.17
1995M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.1
1995M03,Vísitala neysluverðs,Vísitala,172
1995M03,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.17
1995M03,Vísitala neysluverðs,"Ársbreyting, %",1.4
1995M03,Vísitala neysluverðs án húsnæðis,Vísitala,175.2
1995M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.23
1995M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.7
1995M04,Vísitala neysluverðs,Vísitala,171.8
1995M04,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.12
1995M04,Vísitala neysluverðs,"Ársbreyting, %",1.1
1995M04,Vísitala neysluverðs án húsnæðis,Vísitala,175.3
1995M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.06
1995M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.7
1995M05,Vísitala neysluverðs,Vísitala,172.1
1995M05,Vísitala neysluverðs,"Mánaðarbreyting, %",0.17
1995M05,Vísitala neysluverðs,"Ársbreyting, %",1.3
1995M05,Vísitala neysluverðs án húsnæðis,Vísitala,175.7
1995M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.23
1995M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.2
1995M06,Vísitala neysluverðs,Vísitala,172.3
1995M06,Vísitala neysluverðs,"Mánaðarbreyting, %",0.12
1995M06,Vísitala neysluverðs,"Ársbreyting, %",1.3
1995M06,Vísitala neysluverðs án húsnæðis,Vísitala,175.9
1995M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.11
1995M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.2
1995M07,Vísitala neysluverðs,Vísitala,172.8
1995M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.29
1995M07,Vísitala neysluverðs,"Ársbreyting, %",1.4
1995M07,Vísitala neysluverðs án húsnæðis,Vísitala,176.5
1995M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.34
1995M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.3
1995M08,Vísitala neysluverðs,Vísitala,173.5
1995M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0.41
1995M08,Vísitala neysluverðs,"Ársbreyting, %",1.8
1995M08,Vísitala neysluverðs án húsnæðis,Vísitala,177.3
1995M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.45
1995M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.7
1995M09,Vísitala neysluverðs,Vísitala,174.1
1995M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.35
1995M09,Vísitala neysluverðs,"Ársbreyting, %",1.8
1995M09,Vísitala neysluverðs án húsnæðis,Vísitala,178
1995M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.39
1995M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.7
1995M10,Vísitala neysluverðs,Vísitala,174.9
1995M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.46
1995M10,Vísitala neysluverðs,"Ársbreyting, %",2.4
1995M10,Vísitala neysluverðs án húsnæðis,Vísitala,179
1995M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.56
1995M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.5
1995M11,Vísitala neysluverðs,Vísitala,174.3
1995M11,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.34
1995M11,Vísitala neysluverðs,"Ársbreyting, %",2.1
1995M11,Vísitala neysluverðs án húsnæðis,Vísitala,178.2
1995M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.45
1995M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.1
1995M12,Vísitala neysluverðs,Vísitala,174.2
1995M12,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.06
1995M12,Vísitala neysluverðs,"Ársbreyting, %",2
1995M12,Vísitala neysluverðs án húsnæðis,Vísitala,178.2
1995M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0
1995M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.2
1996M01,Vísitala neysluverðs,Vísitala,174.9
1996M01,Vísitala neysluverðs,"Mánaðarbreyting, %",0.4
1996M01,Vísitala neysluverðs,"Ársbreyting, %",1.6
1996M01,Vísitala neysluverðs án húsnæðis,Vísitala,179.1
1996M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.51
1996M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.2
1996M02,Vísitala neysluverðs,Vísitala,175.2
1996M02,Vísitala neysluverðs,"Mánaðarbreyting, %",0.17
1996M02,Vísitala neysluverðs,"Ársbreyting, %",1.7
1996M02,Vísitala neysluverðs án húsnæðis,Vísitala,179.7
1996M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.34
1996M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.3
1996M03,Vísitala neysluverðs,Vísitala,175.5
1996M03,Vísitala neysluverðs,"Mánaðarbreyting, %",0.17
1996M03,Vísitala neysluverðs,"Ársbreyting, %",2
1996M03,Vísitala neysluverðs án húsnæðis,Vísitala,180.1
1996M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.22
1996M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.8
1996M04,Vísitala neysluverðs,Vísitala,175.8
1996M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0.17
1996M04,Vísitala neysluverðs,"Ársbreyting, %",2.3
1996M04,Vísitala neysluverðs án húsnæðis,Vísitala,180.3
1996M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.11
1996M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.9
1996M05,Vísitala neysluverðs,Vísitala,176.9
1996M05,Vísitala neysluverðs,"Mánaðarbreyting, %",0.63
1996M05,Vísitala neysluverðs,"Ársbreyting, %",2.8
1996M05,Vísitala neysluverðs án húsnæðis,Vísitala,181.5
1996M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.67
1996M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.3
1996M06,Vísitala neysluverðs,Vísitala,176.7
1996M06,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.11
1996M06,Vísitala neysluverðs,"Ársbreyting, %",2.6
1996M06,Vísitala neysluverðs án húsnæðis,Vísitala,181.3
1996M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.11
1996M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.1
1996M07,Vísitala neysluverðs,Vísitala,176.9
1996M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.11
1996M07,Vísitala neysluverðs,"Ársbreyting, %",2.4
1996M07,Vísitala neysluverðs án húsnæðis,Vísitala,181.6
1996M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.17
1996M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.9
1996M08,Vísitala neysluverðs,Vísitala,178
1996M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0.62
1996M08,Vísitala neysluverðs,"Ársbreyting, %",2.6
1996M08,Vísitala neysluverðs án húsnæðis,Vísitala,182.6
1996M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.55
1996M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3
1996M09,Vísitala neysluverðs,Vísitala,178.4
1996M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.22
1996M09,Vísitala neysluverðs,"Ársbreyting, %",2.5
1996M09,Vísitala neysluverðs án húsnæðis,Vísitala,182.7
1996M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.05
1996M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.6
1996M10,Vísitala neysluverðs,Vísitala,178.5
1996M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.06
1996M10,Vísitala neysluverðs,"Ársbreyting, %",2.1
1996M10,Vísitala neysluverðs án húsnæðis,Vísitala,182.8
1996M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.05
1996M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.1
1996M11,Vísitala neysluverðs,Vísitala,178.6
1996M11,Vísitala neysluverðs,"Mánaðarbreyting, %",0.06
1996M11,Vísitala neysluverðs,"Ársbreyting, %",2.5
1996M11,Vísitala neysluverðs án húsnæðis,Vísitala,182.8
1996M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0
1996M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.6
1996M12,Vísitala neysluverðs,Vísitala,177.8
1996M12,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.45
1996M12,Vísitala neysluverðs,"Ársbreyting, %",2.1
1996M12,Vísitala neysluverðs án húsnæðis,Vísitala,182.1
1996M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.38
1996M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.2
1997M01,Vísitala neysluverðs,Vísitala,178.4
1997M01,Vísitala neysluverðs,"Mánaðarbreyting, %",0.34
1997M01,Vísitala neysluverðs,"Ársbreyting, %",2
1997M01,Vísitala neysluverðs án húsnæðis,Vísitala,182.5
1997M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.22
1997M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.9
1997M02,Vísitala neysluverðs,Vísitala,178.5
1997M02,Vísitala neysluverðs,"Mánaðarbreyting, %",0.06
1997M02,Vísitala neysluverðs,"Ársbreyting, %",1.9
1997M02,Vísitala neysluverðs án húsnæðis,Vísitala,182.7
1997M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.11
1997M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.7
1997M03,Vísitala neysluverðs,Vísitala,178.4
1997M03,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.06
1997M03,Vísitala neysluverðs,"Ársbreyting, %",1.7
1997M03,Vísitala neysluverðs án húsnæðis,Vísitala,182.7
1997M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0
1997M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.4
1997M04,Vísitala neysluverðs,Vísitala,179.7
1997M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0.73
1997M04,Vísitala neysluverðs,"Ársbreyting, %",2.2
1997M04,Vísitala neysluverðs án húsnæðis,Vísitala,184.1
1997M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.77
1997M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.1
1997M05,Vísitala neysluverðs,Vísitala,179.4
1997M05,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.17
1997M05,Vísitala neysluverðs,"Ársbreyting, %",1.4
1997M05,Vísitala neysluverðs án húsnæðis,Vísitala,183.7
1997M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.22
1997M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.2
1997M06,Vísitala neysluverðs,Vísitala,179.8
1997M06,Vísitala neysluverðs,"Mánaðarbreyting, %",0.22
1997M06,Vísitala neysluverðs,"Ársbreyting, %",1.8
1997M06,Vísitala neysluverðs án húsnæðis,Vísitala,183.9
1997M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.11
1997M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.4
1997M07,Vísitala neysluverðs,Vísitala,180.1
1997M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.17
1997M07,Vísitala neysluverðs,"Ársbreyting, %",1.8
1997M07,Vísitala neysluverðs án húsnæðis,Vísitala,184.2
1997M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.16
1997M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.4
1997M08,Vísitala neysluverðs,Vísitala,180.6
1997M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0.28
1997M08,Vísitala neysluverðs,"Ársbreyting, %",1.5
1997M08,Vísitala neysluverðs án húsnæðis,Vísitala,184.7
1997M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.27
1997M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.2
1997M09,Vísitala neysluverðs,Vísitala,181.3
1997M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.39
1997M09,Vísitala neysluverðs,"Ársbreyting, %",1.6
1997M09,Vísitala neysluverðs án húsnæðis,Vísitala,185.5
1997M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.43
1997M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.5
1997M10,Vísitala neysluverðs,Vísitala,181.9
1997M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.33
1997M10,Vísitala neysluverðs,"Ársbreyting, %",1.9
1997M10,Vísitala neysluverðs án húsnæðis,Vísitala,186.3
1997M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.43
1997M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.9
1997M11,Vísitala neysluverðs,Vísitala,181.7
1997M11,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.11
1997M11,Vísitala neysluverðs,"Ársbreyting, %",1.7
1997M11,Vísitala neysluverðs án húsnæðis,Vísitala,186
1997M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.16
1997M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.8
1997M12,Vísitala neysluverðs,Vísitala,181.4
1997M12,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.17
1997M12,Vísitala neysluverðs,"Ársbreyting, %",2
1997M12,Vísitala neysluverðs án húsnæðis,Vísitala,185.8
1997M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.11
1997M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2
1998M01,Vísitala neysluverðs,Vísitala,182.4
1998M01,Vísitala neysluverðs,"Mánaðarbreyting, %",0.55
1998M01,Vísitala neysluverðs,"Ársbreyting, %",2.2
1998M01,Vísitala neysluverðs án húsnæðis,Vísitala,186.3
1998M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.27
1998M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.1
1998M02,Vísitala neysluverðs,Vísitala,182
1998M02,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.22
1998M02,Vísitala neysluverðs,"Ársbreyting, %",2
1998M02,Vísitala neysluverðs án húsnæðis,Vísitala,186
1998M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.16
1998M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.8
1998M03,Vísitala neysluverðs,Vísitala,182.7
1998M03,Vísitala neysluverðs,"Mánaðarbreyting, %",0.38
1998M03,Vísitala neysluverðs,"Ársbreyting, %",2.4
1998M03,Vísitala neysluverðs án húsnæðis,Vísitala,186.6
1998M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.32
1998M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.1
1998M04,Vísitala neysluverðs,Vísitala,183.1
1998M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0.22
1998M04,Vísitala neysluverðs,"Ársbreyting, %",1.9
1998M04,Vísitala neysluverðs án húsnæðis,Vísitala,186.5
1998M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.05
1998M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.3
1998M05,Vísitala neysluverðs,Vísitala,183.7
1998M05,Vísitala neysluverðs,"Mánaðarbreyting, %",0.33
1998M05,Vísitala neysluverðs,"Ársbreyting, %",2.4
1998M05,Vísitala neysluverðs án húsnæðis,Vísitala,187.2
1998M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.38
1998M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.9
1998M06,Vísitala neysluverðs,Vísitala,184
1998M06,Vísitala neysluverðs,"Mánaðarbreyting, %",0.16
1998M06,Vísitala neysluverðs,"Ársbreyting, %",2.3
1998M06,Vísitala neysluverðs án húsnæðis,Vísitala,187.5
1998M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.16
1998M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2
1998M07,Vísitala neysluverðs,Vísitala,183.6
1998M07,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.22
1998M07,Vísitala neysluverðs,"Ársbreyting, %",1.9
1998M07,Vísitala neysluverðs án húsnæðis,Vísitala,186.8
1998M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.37
1998M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.4
1998M08,Vísitala neysluverðs,Vísitala,182.6
1998M08,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.54
1998M08,Vísitala neysluverðs,"Ársbreyting, %",1.1
1998M08,Vísitala neysluverðs án húsnæðis,Vísitala,185.6
1998M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.64
1998M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.5
1998M09,Vísitala neysluverðs,Vísitala,182.8
1998M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.11
1998M09,Vísitala neysluverðs,"Ársbreyting, %",0.8
1998M09,Vísitala neysluverðs án húsnæðis,Vísitala,185.8
1998M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.11
1998M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.2
1998M10,Vísitala neysluverðs,Vísitala,183.6
1998M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.44
1998M10,Vísitala neysluverðs,"Ársbreyting, %",0.9
1998M10,Vísitala neysluverðs án húsnæðis,Vísitala,186.5
1998M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.38
1998M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.1
1998M11,Vísitala neysluverðs,Vísitala,184.1
1998M11,Vísitala neysluverðs,"Mánaðarbreyting, %",0.27
1998M11,Vísitala neysluverðs,"Ársbreyting, %",1.3
1998M11,Vísitala neysluverðs án húsnæðis,Vísitala,187
1998M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.27
1998M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.5
1998M12,Vísitala neysluverðs,Vísitala,183.7
1998M12,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.22
1998M12,Vísitala neysluverðs,"Ársbreyting, %",1.3
1998M12,Vísitala neysluverðs án húsnæðis,Vísitala,186.4
1998M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.32
1998M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.3
1999M01,Vísitala neysluverðs,Vísitala,184.8
1999M01,Vísitala neysluverðs,"Mánaðarbreyting, %",0.6
1999M01,Vísitala neysluverðs,"Ársbreyting, %",1.3
1999M01,Vísitala neysluverðs án húsnæðis,Vísitala,187.3
1999M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.48
1999M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.5
1999M02,Vísitala neysluverðs,Vísitala,184.5
1999M02,Vísitala neysluverðs,"Mánaðarbreyting, %",-0.16
1999M02,Vísitala neysluverðs,"Ársbreyting, %",1.4
1999M02,Vísitala neysluverðs án húsnæðis,Vísitala,187
1999M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.16
1999M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.5
1999M03,Vísitala neysluverðs,Vísitala,185.4
1999M03,Vísitala neysluverðs,"Mánaðarbreyting, %",0.49
1999M03,Vísitala neysluverðs,"Ársbreyting, %",1.5
1999M03,Vísitala neysluverðs án húsnæðis,Vísitala,187.8
1999M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.43
1999M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",0.6
1999M04,Vísitala neysluverðs,Vísitala,186.4
1999M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0.54
1999M04,Vísitala neysluverðs,"Ársbreyting, %",1.8
1999M04,Vísitala neysluverðs án húsnæðis,Vísitala,188.3
1999M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.27
1999M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1
1999M05,Vísitala neysluverðs,Vísitala,187.3
1999M05,Vísitala neysluverðs,"Mánaðarbreyting, %",0.48
1999M05,Vísitala neysluverðs,"Ársbreyting, %",2
1999M05,Vísitala neysluverðs án húsnæðis,Vísitala,189.5
1999M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.64
1999M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.2
1999M06,Vísitala neysluverðs,Vísitala,188.8
1999M06,Vísitala neysluverðs,"Mánaðarbreyting, %",0.8
1999M06,Vísitala neysluverðs,"Ársbreyting, %",2.6
1999M06,Vísitala neysluverðs án húsnæðis,Vísitala,190.6
1999M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.58
1999M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",1.7
1999M07,Vísitala neysluverðs,Vísitala,189.5
1999M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.37
1999M07,Vísitala neysluverðs,"Ársbreyting, %",3.2
1999M07,Vísitala neysluverðs án húsnæðis,Vísitala,191
1999M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.21
1999M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",2.2
1999M08,Vísitala neysluverðs,Vísitala,190.2
1999M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0.37
1999M08,Vísitala neysluverðs,"Ársbreyting, %",4.2
1999M08,Vísitala neysluverðs án húsnæðis,Vísitala,191.6
1999M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.31
1999M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.2
1999M09,Vísitala neysluverðs,Vísitala,191.8
1999M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0.84
1999M09,Vísitala neysluverðs,"Ársbreyting, %",4.9
1999M09,Vísitala neysluverðs án húsnæðis,Vísitala,192.8
1999M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.63
1999M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",3.8
1999M10,Vísitala neysluverðs,Vísitala,193.3
1999M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.78
1999M10,Vísitala neysluverðs,"Ársbreyting, %",5.3
1999M10,Vísitala neysluverðs án húsnæðis,Vísitala,194.1
1999M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.67
1999M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",4.1
1999M11,Vísitala neysluverðs,Vísitala,193.3
