Mánuður,Vísitala,Liður,gildi
1989M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.58
1989M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",22.6
1989M11,Vísitala neysluverðs,Vísitala,135.7
1989M11,Vísitala neysluverðs,"Mánaðarbreyting, %",1.5
1989M11,Vísitala neysluverðs,"Ársbreyting, %",22.8
1989M11,Vísitala neysluverðs án húsnæðis,Vísitala,136.8
1989M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.33
1989M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",23.9
1989M12,Vísitala neysluverðs,Vísitala,138.6
1989M12,Vísitala neysluverðs,"Mánaðarbreyting, %",2.14
1989M12,Vísitala neysluverðs,"Ársbreyting, %",25.2
1989M12,Vísitala neysluverðs án húsnæðis,Vísitala,139.8
1989M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",2.19
1989M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",26.1
1990M01,Vísitala neysluverðs,Vísitala,139.3
1990M01,Vísitala neysluverðs,"Mánaðarbreyting, %",0.51
1990M01,Vísitala neysluverðs,"Ársbreyting, %",23.7
1990M01,Vísitala neysluverðs án húsnæðis,Vísitala,140.2
1990M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.29
1990M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",23.7
1990M02,Vísitala neysluverðs,Vísitala,141.5
1990M02,Vísitala neysluverðs,"Mánaðarbreyting, %",1.58
1990M02,Vísitala neysluverðs,"Ársbreyting, %",23.9
1990M02,Vísitala neysluverðs án húsnæðis,Vísitala,141.8
1990M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.14
1990M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",23.5
1990M03,Vísitala neysluverðs,Vísitala,142.7
1990M03,Vísitala neysluverðs,"Mánaðarbreyting, %",0.85
1990M03,Vísitala neysluverðs,"Ársbreyting, %",21.6
1990M03,Vísitala neysluverðs án húsnæðis,Vísitala,142.8
1990M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.71
1990M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",20.9
1990M04,Vísitala neysluverðs,Vísitala,143.1
1990M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0.28
1990M04,Vísitala neysluverðs,"Ársbreyting, %",19.3
1990M04,Vísitala neysluverðs án húsnæðis,Vísitala,143.4
1990M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.42
1990M04,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",18.9
1990M05,Vísitala neysluverðs,Vísitala,144.4
1990M05,Vísitala neysluverðs,"Mánaðarbreyting, %",0.91
1990M05,Vísitala neysluverðs,"Ársbreyting, %",18.1
1990M05,Vísitala neysluverðs án húsnæðis,Vísitala,145
1990M05,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",1.12
