Ár,Ársfjórðungur,Vísitala,gildi
1990,1. ársfjórðungur,Launavísitala,100
1990,1. ársfjórðungur,Þar af laun á almennum markaði,100
1990,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,100
1990,2. ársfjórðungur,Launavísitala,101.1
1990,2. ársfjórðungur,Þar af laun á almennum markaði,101
1990,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,101.1
1990,3. ársfjórðungur,Launavísitala,102.2
1990,3. ársfjórðungur,Þar af laun á almennum markaði,102.2
1990,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,102.4
1990,4. ársfjórðungur,Launavísitala,103.3
1990,4. ársfjórðungur,Þar af laun á almennum markaði,103.3
1990,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,103.3
1990,Ársmeðaltal,Launavísitala,101.6
1990,Ársmeðaltal,Þar af laun á almennum markaði,101.6
1990,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,101.7
1991,1. ársfjórðungur,Launavísitala,106.3
1991,1. ársfjórðungur,Þar af laun á almennum markaði,106.1
1991,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,106.5
1991,2. ársfjórðungur,Launavísitala,109.3
1991,2. ársfjórðungur,Þar af laun á almennum markaði,109.2
1991,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,109.3
1991,3. ársfjórðungur,Launavísitala,113.1
1991,3. ársfjórðungur,Þar af laun á almennum markaði,113.1
1991,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,113.2
1991,4. ársfjórðungur,Launavísitala,111.9
1991,4. ársfjórðungur,Þar af laun á almennum markaði,111.3
1991,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,112.8
1991,Ársmeðaltal,Launavísitala,110.1
1991,Ársmeðaltal,Þar af laun á almennum markaði,109.9
1991,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,110.5
1992,1. ársfjórðungur,Launavísitala,112
1992,1. ársfjórðungur,Þar af laun á almennum markaði,111.3
1992,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,112.9
1992,2. ársfjórðungur,Launavísitala,113.3
1992,2. ársfjórðungur,Þar af laun á almennum markaði,112.7
1992,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,114.2
1992,3. ársfjórðungur,Launavísitala,114
1992,3. ársfjórðungur,Þar af laun á almennum markaði,113.4
1992,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,114.9
1992,4. ársfjórðungur,Launavísitala,114.2
1992,4. ársfjórðungur,Þar af laun á almennum markaði,113.5
1992,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,115.4
1992,Ársmeðaltal,Launavísitala,113.4
1992,Ársmeðaltal,Þar af laun á almennum markaði,112.7
1992,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,114.3
1993,1. ársfjórðungur,Launavísitala,114.6
1993,1. ársfjórðungur,Þar af laun á almennum markaði,113.6
1993,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,116
1993,2. ársfjórðungur,Launavísitala,114.9
1993,2. ársfjórðungur,Þar af laun á almennum markaði,113.7
