Ár,Ársfjórðungur,Vísitala,gildi
1993,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,116.6
1993,3. ársfjórðungur,Launavísitala,115
1993,3. ársfjórðungur,Þar af laun á almennum markaði,113.7
1993,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,116.9
1993,4. ársfjórðungur,Launavísitala,115.3
1993,4. ársfjórðungur,Þar af laun á almennum markaði,113.9
1993,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,117.5
1993,Ársmeðaltal,Launavísitala,114.9
1993,Ársmeðaltal,Þar af laun á almennum markaði,113.7
1993,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,116.7
1994,1. ársfjórðungur,Launavísitala,115.6
1994,1. ársfjórðungur,Þar af laun á almennum markaði,114.1
1994,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,117.7
1994,2. ársfjórðungur,Launavísitala,116
1994,2. ársfjórðungur,Þar af laun á almennum markaði,114.4
1994,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,118.4
1994,3. ársfjórðungur,Launavísitala,116.6
1994,3. ársfjórðungur,Þar af laun á almennum markaði,114.9
1994,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,119.2
1994,4. ársfjórðungur,Launavísitala,117
1994,4. ársfjórðungur,Þar af laun á almennum markaði,115.3
1994,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,119.7
1994,Ársmeðaltal,Launavísitala,116.3
1994,Ársmeðaltal,Þar af laun á almennum markaði,114.7
1994,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,118.8
1995,1. ársfjórðungur,Launavísitala,118.2
1995,1. ársfjórðungur,Þar af laun á almennum markaði,117
1995,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,120.2
1995,2. ársfjórðungur,Launavísitala,121.3
1995,2. ársfjórðungur,Þar af laun á almennum markaði,120
1995,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,123.2
1995,3. ársfjórðungur,Launavísitala,122.7
1995,3. ársfjórðungur,Þar af laun á almennum markaði,120.5
1995,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,126.3
1995,4. ársfjórðungur,Launavísitala,123.8
1995,4. ársfjórðungur,Þar af laun á almennum markaði,120.9
1995,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,128.3
1995,Ársmeðaltal,Launavísitala,121.5
1995,Ársmeðaltal,Þar af laun á almennum markaði,119.6
1995,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,124.5
1996,1. ársfjórðungur,Launavísitala,128.6
1996,1. ársfjórðungur,Þar af laun á almennum markaði,125.4
1996,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,133.7
1996,2. ársfjórðungur,Launavísitala,129.3
1996,2. ársfjórðungur,Þar af laun á almennum markaði,125.8
1996,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,134.7
1996,3. ársfjórðungur,Launavísitala,129.5
1996,3. ársfjórðungur,Þar af laun á almennum markaði,125.9
1996,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,135
1996,4. ársfjórðungur,Launavísitala,129.8
1996,4. ársfjórðungur,Þar af laun á almennum markaði,126.3
1996,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,135.4
1996,Ársmeðaltal,Launavísitala,129.3
1996,Ársmeðaltal,Þar af laun á almennum markaði,125.9
1996,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,134.7
1997,1. ársfjórðungur,Launavísitala,130.4
1997,1. ársfjórðungur,Þar af laun á almennum markaði,127
1997,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,135.9
1997,2. ársfjórðungur,Launavísitala,136.5
1997,2. ársfjórðungur,Þar af laun á almennum markaði,134.6
1997,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,139.2
1997,3. ársfjórðungur,Launavísitala,138.4
1997,3. ársfjórðungur,Þar af laun á almennum markaði,135.3
1997,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,143
1997,4. ársfjórðungur,Launavísitala,140
1997,4. ársfjórðungur,Þar af laun á almennum markaði,135.8
1997,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,146.2
1997,Ársmeðaltal,Launavísitala,136.3
1997,Ársmeðaltal,Þar af laun á almennum markaði,133.2
1997,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,141.1
1998,1. ársfjórðungur,Launavísitala,147.3
1998,1. ársfjórðungur,Þar af laun á almennum markaði,142
1998,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,155.7
1998,2. ársfjórðungur,Launavísitala,148.3
1998,2. ársfjórðungur,Þar af laun á almennum markaði,142.3
1998,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,157.7
1998,3. ársfjórðungur,Launavísitala,149.8
1998,3. ársfjórðungur,Þar af laun á almennum markaði,142.8
1998,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,160.9
1998,4. ársfjórðungur,Launavísitala,151.1
1998,4. ársfjórðungur,Þar af laun á almennum markaði,143.3
1998,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,163.3
1998,Ársmeðaltal,Launavísitala,149.1
1998,Ársmeðaltal,Þar af laun á almennum markaði,142.6
1998,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,159.4
1999,1. ársfjórðungur,Launavísitala,158.2
1999,1. ársfjórðungur,Þar af laun á almennum markaði,149.7
1999,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,171.8
1999,2. ársfjórðungur,Launavísitala,158.9
1999,2. ársfjórðungur,Þar af laun á almennum markaði,150.1
1999,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,172.9
1999,3. ársfjórðungur,Launavísitala,159.5
1999,3. ársfjórðungur,Þar af laun á almennum markaði,150.3
1999,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,174.1
1999,4. ársfjórðungur,Launavísitala,160.6
1999,4. ársfjórðungur,Þar af laun á almennum markaði,151.5
1999,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,175.4
1999,Ársmeðaltal,Launavísitala,159.3
1999,Ársmeðaltal,Þar af laun á almennum markaði,150.3
1999,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,173.5
2000,1. ársfjórðungur,Launavísitala,165
2000,1. ársfjórðungur,Þar af laun á almennum markaði,152.9
2000,1. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,184.8
2000,2. ársfjórðungur,Launavísitala,169.6
2000,2. ársfjórðungur,Þar af laun á almennum markaði,158.6
2000,2. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,187.3
2000,3. ársfjórðungur,Launavísitala,172
2000,3. ársfjórðungur,Þar af laun á almennum markaði,161.6
2000,3. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,188.3
2000,4. ársfjórðungur,Launavísitala,172.9
2000,4. ársfjórðungur,Þar af laun á almennum markaði,162.4
2000,4. ársfjórðungur,Þar af laun opinberir starfsmenn og bankamenn,189.9
2000,Ársmeðaltal,Launavísitala,169.9
2000,Ársmeðaltal,Þar af laun á almennum markaði,158.9
2000,Ársmeðaltal,Þar af laun opinberir starfsmenn og bankamenn,187.6
